English_Name,Korean_Name,Personalities_Korean,Personalities_Count,Personalities_List
Cyrus,Cyrus,"Eastern, Guiding Light, Cursed, Katana, Water",5,Eastern|Guiding Light|Cursed|Katana|Water
Garambarrel,Garambarrel,"Eastern, Cursed, Titan, Lance, Wind",5,Eastern|Cursed|Titan|Lance|Wind
Heena,Heena,"Eastern, Land of Ro, Machinery, Katana, Wind",5,Eastern|Land of Ro|Machinery|Katana|Wind
Porcelain Pixie,Porcelain Pixie,"Eastern, Bind, Land of Shin, Staff, Earth",5,Eastern|Bind|Land of Shin|Staff|Earth
Xianhua,Xianhua,"Eastern, Scientist, Synth Human, KMS, Staff",5,Eastern|Scientist|Synth Human|KMS|Staff
Hoarfrost Songstress,Hoarfrost Songstress,"Eastern, Minstrel, Fairy, Bow, Water",5,Eastern|Minstrel|Fairy|Bow|Water
Nero,Nero,"Eastern, Land of Shin, MMA, Fists, Water",5,Eastern|Land of Shin|MMA|Fists|Water
Melpiphia,Melpiphia,"Elf, Arcadia, Nicknamer, Sword, Wind",5,Elf|Arcadia|Nicknamer|Sword|Wind
Cerrine,Cerrine,"Glasses, IDA School, Outlaw, Fists, Earth",5,Glasses|IDA School|Outlaw|Fists|Earth
Cetie,Cetie,"Glasses, COA, Mounted, Lance, Fire",5,Glasses|COA|Mounted|Lance|Fire
Renri,Renri,"Glasses, Sweet tooth, COA, Ax, Fire",5,Glasses|Sweet tooth|COA|Ax|Fire
Krervo,Krervo,"Glasses, Scientist, Forager, KMS, Staff",5,Glasses|Scientist|Forager|KMS|Staff
Yazuki,Yazuki,"Glasses, Outlaw, Scallywag, Ax, Wind",5,Glasses|Outlaw|Scallywag|Ax|Wind
Nonold,Nonold,"IDA School, Scientist, Forager, KMS, Staff",5,IDA School|Scientist|Forager|KMS|Staff
Ilulu,Ilulu,"Mask, Hood, Purgatory, Ax, Wind",5,Mask|Hood|Purgatory|Ax|Wind
Skull,Skull,"Mask, Phantom Thieves of Hearts, Gun, Hammer, Thunder",5,Mask|Phantom Thieves of Hearts|Gun|Hammer|Thunder
Cyuca,Cyuca,"Mask, Outlaw, Spicy Lover, Ax, Wind",5,Mask|Outlaw|Spicy Lover|Ax|Wind
Raven,Raven,"Mask, Amnesia, Hood, Staff, Earth",5,Mask|Amnesia|Hood|Staff|Earth
Aisha,Aisha,"Minstrel, Cursed, Staff, Fire, Water",5,Minstrel|Cursed|Staff|Fire|Water
Harle,Harle,"New Time Drift, Scars of the Wheel of Time, Staff, Fire, Shade",5,New Time Drift|Scars of the Wheel of Time|Staff|Fire|Shade
Morgana,Morgana,"Phantom Thieves of Hearts, Amnesia, Lovesick, Sword, Wind",5,Phantom Thieves of Hearts|Amnesia|Lovesick|Sword|Wind
Kula,Kula,"Sweet tooth, KOF, MMA, Fists, Water",5,Sweet tooth|KOF|MMA|Fists|Water
Suzette,Suzette,"Sweet tooth, Gourmet, Lost Laboratory, Lance, Wind",5,Sweet tooth|Gourmet|Lost Laboratory|Lance|Wind
Cyan Scyther,Cyan Scyther,"Sweet tooth, Gourmet, Lost Laboratory, Ax, Wind",5,Sweet tooth|Gourmet|Lost Laboratory|Ax|Wind
Melissa,Melissa,"Synth Human, KMS, Katana, Wind, Crystal",5,Synth Human|KMS|Katana|Wind|Crystal
Beautiful Stranger,Beautiful Stranger,"Amnesia, Dog lover, KMS, Sword, Earth",5,Amnesia|Dog lover|KMS|Sword|Earth
Cerius,Cerius,"Arcadia, Dragon Killer, Spicy Lover, Bow, Earth",5,Arcadia|Dragon Killer|Spicy Lover|Bow|Earth
Zilva,Zilva,"Art, Forager, Outlaw, Ax, Earth",5,Art|Forager|Outlaw|Ax|Earth
Ryza,Ryza,"Atelier, Forager, Miner, Staff, Fire",5,Atelier|Forager|Miner|Staff|Fire
Laclair,Laclair,"Avenger, Dog lover, Dragon Killer, Bow, Water",5,Avenger|Dog lover|Dragon Killer|Bow|Water
Victor,Victor,"Baruoki, Cursed, Katana, Wind, Thunder",5,Baruoki|Cursed|Katana|Wind|Thunder
Nomar,Nomar,"Baruoki, Miner, Weapons, Lance, Water",5,Baruoki|Miner|Weapons|Lance|Water
Daisy,Daisy,"Dog lover, Purgatory, Spicy Lover, Hammer, Earth",5,Dog lover|Purgatory|Spicy Lover|Hammer|Earth
Benedict,Benedict,"Forager, Outlaw, Woodcutter, Ax, Wind",5,Forager|Outlaw|Woodcutter|Ax|Wind
Toova,Toova,"Funeral, Nicknamer, Spirit-fused, Staff, Earth",5,Funeral|Nicknamer|Spirit-fused|Staff|Earth
Iphi,Iphi,"Gun, Spicy Lover, Staff, Fire, Shade",5,Gun|Spicy Lover|Staff|Fire|Shade
Kyo,Kyo,"KOF, MMA, Mounted, Fists, Fire",5,KOF|MMA|Mounted|Fists|Fire
Black Clad Sw.,Black Clad Sw.,"Lost Laboratory, Power to Rule, Katana, Earth, Shade",5,Lost Laboratory|Power to Rule|Katana|Earth|Shade
Silver Striker,Silver Striker,"Lost Laboratory, Machinery, Bow, Water, Thunder",5,Lost Laboratory|Machinery|Bow|Water|Thunder
Lokido,Lokido,"Beast, Avenger, Fists, Earth",4,Beast|Avenger|Fists|Earth
Forlorn Thespian,Forlorn Thespian,"Beast, Bookworm, Sword, Earth",4,Beast|Bookworm|Sword|Earth
Lele,Lele,"Cat lover, Animal Talker, Staff, Water",4,Cat lover|Animal Talker|Staff|Water
Pasia,Pasia,"Cat lover, Mask, Animal Talker, Hammer",4,Cat lover|Mask|Animal Talker|Hammer
Yuna,Yuna,"Clergy, Eastern, Estrangement, Staff",4,Clergy|Eastern|Estrangement|Staff
Klaudia,Klaudia,"Cooking, Atelier, Bow, Water",4,Cooking|Atelier|Bow|Water
Yukino,Yukino,"Eastern, Fairy, Bow, Water",4,Eastern|Fairy|Bow|Water
Komachi,Komachi,"Eastern, Land of Mi, Lance, Earth",4,Eastern|Land of Mi|Lance|Earth
Nikeh,Nikeh,"Eastern, Outlaw, Katana, Water",4,Eastern|Outlaw|Katana|Water
Bria,Bria,"Elf, Fleareth, Lance, Water",4,Elf|Fleareth|Lance|Water
Ewella,Ewella,"Elf, Lance, Water, Crystal",4,Elf|Lance|Water|Crystal
Radica,Radica,"Elf, Lovesick, Staff, Fire",4,Elf|Lovesick|Staff|Fire
Breeno,Breeno,"Elf, Miglance Palace, Sword, Earth",4,Elf|Miglance Palace|Sword|Earth
Empel,Empel,"Glasses, Atelier, Bookworm, Staff",4,Glasses|Atelier|Bookworm|Staff
Linaria,Linaria,"IDA School, COA, Sword, Fire",4,IDA School|COA|Sword|Fire
Melody,Melody,"IDA School, Estrangement, Staff, Wind",4,IDA School|Estrangement|Staff|Wind
Mighty,Mighty,"IDA School, Napper, Staff, Water",4,IDA School|Napper|Staff|Water
Foran,Foran,"IDA School, Cat Hater, Lance, Water",4,IDA School|Cat Hater|Lance|Water
Helena,Helena,"Mask, Synth Human, Staff, Earth",4,Mask|Synth Human|Staff|Earth
Crimson Reaper,Crimson Reaper,"Mask, Purgatory, Ax, Water",4,Mask|Purgatory|Ax|Water
Bertrand,Bertrand,"Miglance Palace, Shield, Lance, Earth",4,Miglance Palace|Shield|Lance|Earth
Miyu,Miyu,"Miglance Palace, Royalty, Sword, Fire",4,Miglance Palace|Royalty|Sword|Fire
Radias,Radias,"Miglance Palace, Shield, Sword, Fire",4,Miglance Palace|Shield|Sword|Fire
Soira,Soira,"Miglance Palace, Napper, Lance, Wind",4,Miglance Palace|Napper|Lance|Wind
Pizzica,Pizzica,"Minstrel, Northern, Bow, Fire",4,Minstrel|Northern|Bow|Fire
Lovinia,Lovinia,"Minstrel, Spirit Talker, Bow, Wind",4,Minstrel|Spirit Talker|Bow|Wind
Parisa,Parisa,"Minstrel, Cursed, Bow, Fire",4,Minstrel|Cursed|Bow|Fire
Kid,Kid,"New Radical Dreamers, Scars of the Wheel of Time, Katana, Fire",4,New Radical Dreamers|Scars of the Wheel of Time|Katana|Fire
Serge,Serge,"New Radical Dreamers, New Time Drift, Scars of the Wheel of Time, Sword",4,New Radical Dreamers|New Time Drift|Scars of the Wheel of Time|Sword
Pom,Pom,"Scientist, Forager, Gun, Staff",4,Scientist|Forager|Gun|Staff
Tiramisu,Tiramisu,"Sweet tooth, Dragon, Lance, Earth",4,Sweet tooth|Dragon|Lance|Earth
Good Macky,Good Macky,"Sweet tooth, Cat Hater, Fists, Wind",4,Sweet tooth|Cat Hater|Fists|Wind
Violet Lancer,Violet Lancer,"Amnesia, Lost Laboratory, Lance, Earth",4,Amnesia|Lost Laboratory|Lance|Earth
Darunis,Darunis,"Baruoki, Forager, Bow, Wind",4,Baruoki|Forager|Bow|Wind
Elseal,Elseal,"Bookworm, Weapons, Sword, Water",4,Bookworm|Weapons|Sword|Water
Velette,Velette,"Chronos Empire, Miner, Hammer, Thunder",4,Chronos Empire|Miner|Hammer|Thunder
Colette,Colette,"Concerto Artes, Dog lover, Tales of, Staff",4,Concerto Artes|Dog lover|Tales of|Staff
Cress,Cress,"Concerto Artes, Tales of, Sword, Fire",4,Concerto Artes|Tales of|Sword|Fire
Lloyd,Lloyd,"Concerto Artes, Tales of, Katana, Fire",4,Concerto Artes|Tales of|Katana|Fire
Milla,Milla,"Concerto Artes, Tales of, Sword, Water",4,Concerto Artes|Tales of|Sword|Water
Velvet,Velvet,"Concerto Artes, Tales of, Sword, Earth",4,Concerto Artes|Tales of|Sword|Earth
Yuri,Yuri,"Concerto Artes, Tales of, Katana, Wind",4,Concerto Artes|Tales of|Katana|Wind
Shanie,Shanie,"Cursed, Lovesick, Sword, Water",4,Cursed|Lovesick|Sword|Water
Eva,Eva,"Dragon, Staff, Water, Crystal",4,Dragon|Staff|Water|Crystal
Orleya,Orleya,"Estrangement, Ax, Fire, Thunder",4,Estrangement|Ax|Fire|Thunder
Yakumo,Yakumo,"Estrangement, KMS, Staff, Shade",4,Estrangement|KMS|Staff|Shade
Selfless Seeker,Selfless Seeker,"Gun, Outlaw, Bow, Earth",4,Gun|Outlaw|Bow|Earth
Terry,Terry,"KOF, MMA, Fists, Earth",4,KOF|MMA|Fists|Earth
Miranda,Miranda,"Scallywag, Spicy Lover, Ax, Fire",4,Scallywag|Spicy Lover|Ax|Fire
Myrus,Myrus,"Beast, Staff, Earth",3,Beast|Staff|Earth
Mariel,Mariel,"Cat lover, Clergy, Staff",3,Cat lover|Clergy|Staff
Myron,Myron,"Clergy, Sword, Earth",3,Clergy|Sword|Earth
Urania,Urania,"Cooking, Mask, Fists",3,Cooking|Mask|Fists
Chiyo,Chiyo,"Dragon Palace, Staff, Earth",3,Dragon Palace|Staff|Earth
Strawboy,Strawboy,"Eastern, Straw Dummy, Fists",3,Eastern|Straw Dummy|Fists
Hismena,Hismena,"IDA School, Lance, Water",3,IDA School|Lance|Water
Moonlight Flower,Moonlight Flower,"IDA School, Sword, Water",3,IDA School|Sword|Water
Jade,Jade,"IDA School, Lance, Fire",3,IDA School|Lance|Fire
Mayu,Mayu,"IDA School, Staff, Water",3,IDA School|Staff|Water
Saki,Saki,"IDA School, Staff, Water",3,IDA School|Staff|Water
Asia,Asia,"Mask, Estrangement, Bow",3,Mask|Estrangement|Bow
Kilqia,Kilqia,"Mask, Sharp Ears, Staff",3,Mask|Sharp Ears|Staff
Rodeia,Rodeia,"Mask, Sweet tooth, Ax",3,Mask|Sweet tooth|Ax
Sauria,Sauria,"Mask, Nicknamer, Lance",3,Mask|Nicknamer|Lance
Ciel,Ciel,"Minstrel, Bow, Earth",3,Minstrel|Bow|Earth
Noahxis,Noahxis,"Scientist, Hammer, Wind",3,Scientist|Hammer|Wind
Kuchinawa,Kuchinawa,"Arcadia, Staff, Earth",3,Arcadia|Staff|Earth
Sesta,Sesta,"Avenger, Katana, Wind",3,Avenger|Katana|Wind
Tohme,Tohme,"Avenger, Fleareth, Katana",3,Avenger|Fleareth|Katana
Rufus,Rufus,"Bookworm, Fists, Fire",3,Bookworm|Fists|Fire
Gariyu,Gariyu,"Dragon, Staff, Fire",3,Dragon|Staff|Fire
Yio,Yio,"Dragon Killer, Ax, Earth",3,Dragon Killer|Ax|Earth
Emms,Emms,"Fleareth, Napper, Fists",3,Fleareth|Napper|Fists
Natore,Natore,"Fleareth, Ninja, Sword",3,Fleareth|Ninja|Sword
Id,Id,"Purgatory, Fists, Earth",3,Purgatory|Fists|Earth
Denny,Denny,"Scallywag, Ax, Water",3,Scallywag|Ax|Water
Starky,Starky,"Scars of the Wheel of Time, Staff, Crystal",3,Scars of the Wheel of Time|Staff|Crystal
Partitio,Partitio,"Traveler, Bow, Fire",3,Traveler|Bow|Fire
Tithi,Tithi,"Traveler, Fists, Thunder",3,Traveler|Fists|Thunder
Philo,Philo,"Woodcutter, Ax, Water",3,Woodcutter|Ax|Water
Nagi ES,Nagi ES,"Staff, Water, Crystal",3,Staff|Water|Crystal
Isuka ES,Isuka ES,"Sword, Fire, Shade",3,Sword|Fire|Shade
Miyu ES,Miyu ES,"Lance, Earth, Thunder",3,Lance|Earth|Thunder
Melina ES,Melina ES,"Fists, Water, Thunder",3,Fists|Water|Thunder
Toova ES,Toova ES,"Hammer, Water, Shade",3,Hammer|Water|Shade
Mana,Mana,"IDA School, Bow",2,IDA School|Bow
Menesia,Menesia,"Mask, Katana",2,Mask|Katana
Naylia,Naylia,"Mask, Sword",2,Mask|Sword
Ctos,Ctos,"Fleareth, Hammer",2,Fleareth|Hammer
