캐릭터명,영문명,캐릭터아이콘경로,희귀도,속성명리스트,무기명리스트,성격특성리스트
이드,Id,04_data/images/character_art/101060191_rank5_command.png,,,,"프리아레스, Fists, Earth"
하자마,Hazama,04_data/images/character_art/2000000015_command.png,,,,
클라우디아,Klaudia,04_data/images/character_art/101460131_rank5_command.png,,,,"요리, 아틀리에, Bow, Water"
라이자,Ryza,04_data/images/character_art/101460121_rank5_command.png,,,,"아틀리에, Forager, Miner, Staff, Fire"
이즈나,Izuna,04_data/images/character_art/101000391_rank5_command.png,,,,"동방, 가면, 기억 상실, Estrangement, Staff, Thunder"
루프스 AS,Rufus (Another Style),04_data/images/character_art/101060051_s2_rank5_command.png,,,,
까마귀 밤의 밀정,Nocturne Ninja,04_data/images/character_art/101060181_rank5_command.png,,,,"Cat lover, 동방, Glutton, Land of Mi, Ninja, Fists, Wind"
세스타 AS,Sesta (Another Style),04_data/images/character_art/101020161_s2_rank5_command.png,,,,
센야,Senya,04_data/images/character_art/101020191_rank5_command.png,,,,"동방, Avenger, Cursed, Fairy, 후드, Land of Mi, Katana, Fire, Shade"
시구레 ES,Shigure (Extra Style),04_data/images/character_art/101020101_s3_rank5_command.png,,,,
링리 AS,Lingli (Another Style),04_data/images/character_art/101060021_s2_rank5_command.png,,,,
쿨라,Kula,04_data/images/character_art/101460051_rank5_command.png,,,,"Sweet tooth, KOF, MMA, Fists, Water"
쿄,Kyo,04_data/images/character_art/101460021_rank5_command.png,,,,"KOF, MMA, Mounted, Fists, Fire"
마이,Mai,04_data/images/character_art/101460041_rank5_command.png,,,,"KOF, 상사병, MMA, Ninja, Fists, Fire"
가시나무 저주의 여인,Thornbound Witch,04_data/images/character_art/101070151_rank5_command.png,,,,"Cat lover, Cursed, 후드, 상사병, Hammer, Wind, Shade"
테리,Terry,04_data/images/character_art/101460031_rank5_command.png,,,,"KOF, MMA, Fists, Earth"
질버 AS,Zilva (Another Style),04_data/images/character_art/101030081_s2_rank5_command.png,,,,
우츠하라,Utpalaka,04_data/images/character_art/101030211_rank5_command.png,,,,"아르카디아, 용, Dragon Killer, 프리아레스, Ax, Thunder"
도희의 자객,Undercover Scribe,04_data/images/character_art/101060171_rank5_command.png,,,,"독서가, 총, 무법자, Spicy Lover, Fists, Fire"
미나르카 AS,Minalca (Another Style),04_data/images/character_art/101010131_s2_rank5_command.png,,,,
테트라 AS,Tetra (Another Style),04_data/images/character_art/2000000001_s2_command.png,,,,
피네 AS,Feinne (Another Style),04_data/images/character_art/101900011_s2_rank5_command.png,,,,
질퍼니,Jillfunny,04_data/images/character_art/101010181_rank5_command.png,,,,"Cat lover, 기억 상실, 후드, Sword, Water, Crystal"
피기,Pyggie,04_data/images/character_art/2000000013_command.png,,,,
티시아,Thysía,04_data/images/character_art/2000000014_rank5_command.png,,,,
마츠리카,Mazrika,04_data/images/character_art/101030201_rank5_command.png,,,,"마수, Sweet tooth, 후드, Napper, 프리아레스, Ax, Water"
야쿠모 AS,Yakumo (Another Style),04_data/images/character_art/101000331_s2_rank5_command.png,,,,
쿠모스 AS,Kumos (Another Style),04_data/images/character_art/2000000006_s2_command.png,,,,
전영의 샛별,Virtual Reflection,04_data/images/character_art/101070141_rank5_command.png,,,,"가면, Sweet tooth, 후드, Hammer, Earth, Thunder"
아나벨 ES,Anabel (Extra Style),04_data/images/character_art/101010011_s3_rank5_command.png,,,,
셴화,Xianhua,04_data/images/character_art/101000381_rank5_command.png,,,,"동방, 과학자, 합성인간, KMS, Staff"
쿠치나와,Kuchinawa,04_data/images/character_art/101000371_rank5_command.png,,,,"아르카디아, Staff, Earth"
히나기쿠 AS,Daisy (Another Style),04_data/images/character_art/101070111_s2_rank5_command.png,,,,
이벨라 AS,Ewella (Another Style),04_data/images/character_art/101040141_s2_rank5_command.png,,,,
사잔카,Sazanca,04_data/images/character_art/101030191_rank5_command.png,,,,"동방, 아르카디아, Dragon Killer, Forager, Glutton, 방패, Ax, Fire"
멜피피아,Melpiphia,04_data/images/character_art/101010171_rank5_command.png,,,,"엘프, 아르카디아, Nicknamer, Sword, Wind"
이리디안 (공격),Iridian (Attack),04_data/images/character_art/2009000001_command.png,,,,
이리디안 (방어),Iridian (Defense),04_data/images/character_art/2009000002_command.png,,,,
이리디안 (회복),Iridian (Heal),04_data/images/character_art/2009000003_command.png,,,,
국화의검색,Blooming Blade,04_data/images/character_art/101020181_rank5_command.png,,,,"동방, Itto-Ryu, Land of Mi, Katana, Earth"
틸릴 ES,Thillelille (Extra Style),04_data/images/character_art/101010121_s3_rank5_command.png,,,,
모케,Moke,04_data/images/character_art/2000000012_command.png,,,,
알마 AS,Alma (Another Style),04_data/images/character_art/101050171_s2_rank5_command.png,,,,
웨네피카,Wenefica,04_data/images/character_art/101050191_rank5_command.png,,,,"Avenger, 바르오키, Cursed, Bow, Water, Shade"
사이러스 (협주),Cyrus Albright,04_data/images/character_art/101450051_rank5_command.png,,,,"독서가, Traveler, Staff, Fire, Water, Thunder"
오보로,Oboro,04_data/images/character_art/101020171_rank5_command.png,,,,"Cat lover, 동방, 가면, Itto-Ryu, KMS, 상사병, Katana, Thunder"
파르티티오,Partitio,04_data/images/character_art/101450061_rank5_command.png,,,,"Traveler, Bow, Fire"
티티,Tithi,04_data/images/character_art/101450071_rank5_command.png,,,,"Traveler, Fists, Thunder"
세리에스,Cerius,04_data/images/character_art/101050181_rank5_command.png,,,,"아르카디아, Dragon Killer, Spicy Lover, Bow, Earth"
류제,Wryz,04_data/images/character_art/101040201_rank5_command.png,,,,"아르카디아, Cursed, 용, Dragon Killer, Lance, Water"
폼 AS,Pom (Another Style),04_data/images/character_art/101000161_s2_rank5_command.png,,,,
오를레아 AS,Orleya (Another Style),04_data/images/character_art/101030171_s2_rank5_command.png,,,,
백자의 마인,Porcelain Pixie,04_data/images/character_art/101000361_rank5_command.png,,,,"동방, Bind, Land of Shin, Staff, Earth"
캄라녜쥬,Kamlanage,04_data/images/character_art/101000341_rank5_command.png,,,,"Chronos Empire, 미래 혁명가, Paradoxical Dreamers' Leader, 시간의 황자, Staff, Thunder"
베레토,Velette,04_data/images/character_art/101070131_rank5_command.png,,,,"Chronos Empire, Miner, Hammer, Thunder"
군체,Gunce,04_data/images/character_art/2000000009_command.png,,,,
휴가,Hyuga,04_data/images/character_art/2000000010_command.png,,,,
파리사 AS,Parisa (Another Style),04_data/images/character_art/101050031_s2_rank5_command.png,,,,
꿈의 음유 시인,Dream Weaver,04_data/images/character_art/101000351_rank5_command.png,,,,"마수, Minstrel, 프리아레스, Spicy Lover, Staff, Water"
멜로디 AS,Melody (Another Style),04_data/images/character_art/101000141_s2_rank5_command.png,,,,
녹시스 AS,Noahxis (Another Style),04_data/images/character_art/101070121_s2_rank5_command.png,,,,
펠미나 ES,Felmina (Extra Style),04_data/images/character_art/101060091_s3_rank5_command.png,,,,
엘실,Elseal,04_data/images/character_art/101010161_rank5_command.png,,,,"독서가, Weapons, Sword, Water"
프레메아 AS,Premaya (Another Style),04_data/images/character_art/101050111_s2_rank5_command.png,,,,
심홍의 사자,Crimson Reaper,04_data/images/character_art/101030181_rank5_command.png,,,,"가면, 프리아레스, Ax, Water"
리밀,Limil,04_data/images/character_art/2000000008_command.png,,,,
피치카 AS,Pizzica (Another Style),04_data/images/character_art/101050141_s2_rank5_command.png,,,,
피스체,Pisce,04_data/images/character_art/2000000007_command.png,,,,
노나 AS,Nona (Another Style),04_data/images/character_art/101050161_s2_rank5_command.png,,,,
세스타,Sesta,04_data/images/character_art/101020161_rank5_command.png,,,,"Avenger, Katana, Wind"
투바 ES,Toova (Extra Style),04_data/images/character_art/101000051_s3_rank5_command.png,,,,
러블리 AS,Lovely (Another Style),04_data/images/character_art/101060121_s2_rank5_command.png,,,,
셀리느 AS,Cerrine (Another Style),04_data/images/character_art/101060081_s2_rank5_command.png,,,,
잔영의 가인,Beautiful Stranger,04_data/images/character_art/101010151_rank5_command.png,,,,"기억 상실, Dog lover, KMS, Sword, Earth"
야쿠모,Yakumo,04_data/images/character_art/101000331_rank5_command.png,,,,"Estrangement, KMS, Staff, Shade"
쿠모스,Kumos,04_data/images/character_art/2000000006_command.png,,,,
듀이 AS,Dewey (Another Style),04_data/images/character_art/101060101_s2_rank5_command.png,,,,
은주의 구미호,Vermillion Whip,04_data/images/character_art/101040191_rank5_command.png,,,,"요리, 동방, Fairy, Land of Shin, Spicy Lover, Lance, Fire"
마리엘 ES,Mariel (Extra Style),04_data/images/character_art/101000031_s3_rank5_command.png,,,,
히이나 AS,Heena (Another Style),04_data/images/character_art/101020121_s2_rank5_command.png,,,,
가람배럴 AS,Garambarrel (Another Style),04_data/images/character_art/101040161_s2_rank5_command.png,,,,
애쉬티어,Ashtear,04_data/images/character_art/101060161_rank5_command.png,,,,"안경, 과학자, 바르오키, 총, Fists, Fire"
코로보,Korobo,04_data/images/character_art/2000000002_command.png,,,,
미나르카,Minalca,04_data/images/character_art/101010131_rank5_command.png,,,,"Chronos Empire, Glutton, 밀리터리, 무법자, Sword, Fire"
테트라,Tetra,04_data/images/character_art/2000000001_command.png,,,,
모르디,Mordy,04_data/images/character_art/2000000005_command.png,,,,
미니맨더,Minimander,04_data/images/character_art/2000000003_command.png,,,,
로드 우쿨렐레,Lord Ukulele,04_data/images/character_art/2000000004_command.png,,,,
플람라피스 AS,Flammelapis (Another Style),04_data/images/character_art/101000271_s2_rank5_command.png,,,,
이프,Iphi,04_data/images/character_art/101000321_rank5_command.png,,,,"총, Spicy Lover, Staff, Fire, Shade"
꽃피우는 공주,Noble Blossom,04_data/images/character_art/101040181_rank5_command.png,,,,"동방, 독서가, Fairy, Land of Ro, 왕족, Lance, Fire"
네코코 AS,Necoco (Another Style),04_data/images/character_art/101030151_s2_rank5_command.png,,,,
알펜,Alphen,04_data/images/character_art/101450031_rank5_command.png,,,,"가면, 기억 상실, Concerto Artes, 테일즈 오브, Sword, Fire"
콜레트,Colette,04_data/images/character_art/101450021_rank5_command.png,,,,"Concerto Artes, Dog lover, 테일즈 오브, Staff"
월화의 영애,Moonlight Flower,04_data/images/character_art/101010141_rank5_command.png,,,,"IDA 스쿨, Sword, Water"
로이드,Lloyd,04_data/images/character_art/101450011_rank5_command.png,,,,"Concerto Artes, 테일즈 오브, Katana, Fire"
시온 (협주),Shionne,04_data/images/character_art/101450041_rank5_command.png,,,,"Concerto Artes, Cursed, Glutton, 총, 테일즈 오브, Bow, Fire"
비아카 AS,Biaka (Another Style),04_data/images/character_art/101070081_s2_rank5_command.png,,,,
신시아 AS,Cynthia (Another Style),04_data/images/character_art/101010101_s2_rank5_command.png,,,,
클로드 ES,Claude (Extra Style),04_data/images/character_art/101050081_s3_rank5_command.png,,,,
아이샤,Aisha,04_data/images/character_art/101000311_rank5_command.png,,,,"Minstrel, Cursed, Staff, Fire, Water"
소이라 AS,Soira (Another Style),04_data/images/character_art/101040021_s2_rank5_command.png,,,,
우쿠아지,Uquaji,04_data/images/character_art/101060151_rank5_command.png,,,,"Fists, Water"
유키노 AS,Yukino (Another Style),04_data/images/character_art/101050131_s2_rank5_command.png,,,,
레레 AS,Lele (Another Style),04_data/images/character_art/101000101_s2_rank5_command.png,,,,
알마,Alma,04_data/images/character_art/101050171_rank5_command.png,,,,"Cat lover, 안경, 연금술사, 총, Bow, Crystal"
유인 AS,Yipha (Another Style),04_data/images/character_art/101070101_s2_rank5_command.png,,,,
아자미 AS,Azami (Another Style),04_data/images/character_art/101020011_s2_rank5_command.png,,,,
먹빛의 책사,Jet Tactician,04_data/images/character_art/101000301_rank5_command.png,,,,"Cat lover, 동방, 독서가, 총, Itto-Ryu, Land of Mi, Staff, Fire"
라디아스 AS,Radias (Another Style),04_data/images/character_art/101010111_s2_rank5_command.png,,,,
미유 ES,Miyu (Extra Style),04_data/images/character_art/101010041_s3_rank5_command.png,,,,
녹시스,Noahxis,04_data/images/character_art/101070121_rank5_command.png,,,,"과학자, Hammer, Wind"
노나,Nona,04_data/images/character_art/101050161_rank5_command.png,,,,"기억 상실, 후드, 왕족, Bow, Water, Shade"
오를레아,Orleya,04_data/images/character_art/101030171_rank5_command.png,,,,"Estrangement, Ax, Fire, Thunder"
미르샤 AS,Milsha (Another Style),04_data/images/character_art/101040131_s2_rank5_command.png,,,,
필로 AS,Philo (Another Style),04_data/images/character_art/101030111_s2_rank5_command.png,,,,
오토하 AS,Otoha (Another Style),04_data/images/character_art/101020041_s2_rank5_command.png,,,,
마유,Mayu,04_data/images/character_art/101000291_rank5_command.png,,,,"IDA 스쿨, Staff, Water"
수제트 ES,Suzette (Extra Style),04_data/images/character_art/101040031_s3_rank5_command.png,,,,
은빛을 휘감은 번개술사,Silver Striker,04_data/images/character_art/101050151_rank5_command.png,,,,"Lost Laboratory, Machinery, Bow, Water, Thunder"
별이,Starky,04_data/images/character_art/101440051_rank5_command.png,,,,"Scars of the Wheel of Time, Staff, Crystal"
보라 의상의 창술사,Violet Lancer,04_data/images/character_art/101040171_rank5_command.png,,,,"기억 상실, Lost Laboratory, Lance, Earth"
플람라피스,Flammelapis,04_data/images/character_art/101000271_rank5_command.png,,,,"Clergy, Demon Sword, Glutton, 타이탄, Staff, Water"
미스트레아 AS,Mistrare (Another Style),04_data/images/character_art/101050121_s2_rank5_command.png,,,,
푸른 빛의 낫잡이,Cyan Scyther,04_data/images/character_art/101030161_rank5_command.png,,,,"Sweet tooth, 미식, Lost Laboratory, Ax, Wind"
빨간 외투의 화염술사,Red Clad Flam.,04_data/images/character_art/101060141_rank5_command.png,,,,"IDA 스쿨, 총, 후드, Lost Laboratory, Fists, Fire, Crystal"
제빌로 AS,Zeviro (Another Style),04_data/images/character_art/101030131_s2_rank5_command.png,,,,
검은 옷의 칼잡이,Black Clad Sw.,04_data/images/character_art/101020141_rank5_command.png,,,,"Lost Laboratory, Power to Rule, Katana, Earth, Shade"
에바,Eva,04_data/images/character_art/101000281_rank5_command.png,,,,"용, Staff, Water, Crystal"
큐리오,Curio,04_data/images/character_art/101020151_rank5_command.png,,,,"IDA 스쿨, Sweet tooth, 독서가, Lost Laboratory, Power to Rule, Katana, Wind, Shade"
이스카 ES,Isuka (Extra Style),04_data/images/character_art/101020071_s3_rank5_command.png,,,,
히나기쿠,Daisy,04_data/images/character_art/101070111_rank5_command.png,,,,"Dog lover, 프리아레스, Spicy Lover, Hammer, Earth"
레비아 AS,Levia (Another Style),04_data/images/character_art/101000201_s2_rank5_command.png,,,,
나기 ES,Nagi (Extra Style),04_data/images/character_art/101030071_s3_rank5_command.png,,,,
츠쿠요미,Harle,04_data/images/character_art/101440031_rank5_command.png,,,,"New Time Drift, Scars of the Wheel of Time, Staff, Fire, Shade"
키드,Kid,04_data/images/character_art/101440021_rank5_command.png,,,,"New Radical Dreamers, Scars of the Wheel of Time, Katana, Fire"
키쿄 AS,Kikyo (Another Style),04_data/images/character_art/101030121_s2_rank5_command.png,,,,
세르주,Serge,04_data/images/character_art/101440011_rank5_command.png,,,,"New Radical Dreamers, New Time Drift, Scars of the Wheel of Time, Sword"
피치카,Pizzica,04_data/images/character_art/101050141_rank5_command.png,,,,"Minstrel, 북방, Bow, Fire"
시에라 AS,Sheila (Another Style),04_data/images/character_art/101040081_s2_rank5_command.png,,,,
하디 AS,Hardy (Another Style),04_data/images/character_art/101060131_s2_rank5_command.png,,,,
치요 AS,Chiyo (Another Style),04_data/images/character_art/101000191_s2_rank5_command.png,,,,
빅터 AS,Victor (Another Style),04_data/images/character_art/101020111_s2_rank5_command.png,,,,
밍화 AS,Myunfa (Another Style),04_data/images/character_art/101070091_s2_rank5_command.png,,,,
가람배럴,Garambarrel,04_data/images/character_art/101040161_rank5_command.png,,,,"동방, Cursed, 타이탄, Lance, Wind"
네코코,Necoco,04_data/images/character_art/101030151_rank5_command.png,,,,"Cat lover, 동방, Animal Talker, Fairy, Land of Mi, Ax, Earth"
츠키하 ES,Tsukiha (Extra Style),04_data/images/character_art/101020081_s3_rank5_command.png,,,,
츠바메 AS,Tsubame (Another Style),04_data/images/character_art/101060111_s2_rank5_command.png,,,,
멜로디,Melody,04_data/images/character_art/101000141_rank5_command.png,,,,"IDA 스쿨, Estrangement, Staff, Wind"
클라르테 AS,Clarte (Another Style),04_data/images/character_art/101000261_s2_rank5_command.png,,,,
틸릴 AS,Thillelille (Another Style),04_data/images/character_art/101010121_s2_rank5_command.png,,,,
티라미수 AS,Tiramisu (Another Style),04_data/images/character_art/101040121_s2_rank5_command.png,,,,
시구레 AS,Shigure (Another Style),04_data/images/character_art/101020101_s2_rank5_command.png,,,,
메리나 ES,Melina (Extra Style),04_data/images/character_art/101070061_s3_rank5_command.png,,,,
듀나리스 AS,Dunarith (Another Style),04_data/images/character_art/101000251_s2_rank5_command.png,,,,
이벨라,Ewella,04_data/images/character_art/101040141_rank5_command.png,,,,"엘프, Lance, Water, Crystal"
미유 AS,Miyu (Another Style),04_data/images/character_art/101010041_s2_rank5_command.png,,,,
라디카 AS,Radica (Another Style),04_data/images/character_art/101000171_s2_rank5_command.png,,,,
히스메나 AS,Hismena (Another Style),04_data/images/character_art/101040111_s2_rank5_command.png,,,,
미르샤,Milsha,04_data/images/character_art/101040131_rank5_command.png,,,,"Minstrel, Fishman, West, Lance, Earth, Shade"
유인 AS,Ewan (Another Style),04_data/images/character_art/101070051_s2_rank5_command.png,,,,
이루루 AS,Ilulu (Another Style),04_data/images/character_art/101030101_s2_rank5_command.png,,,,
호오즈키 AS,Hozuki (Another Style),04_data/images/character_art/101050091_s2_rank5_command.png,,,,
로제타 AS,Rosetta (Another Style),04_data/images/character_art/101000241_s2_rank5_command.png,,,,
멜리사,Melissa,04_data/images/character_art/101020131_rank5_command.png,,,,"합성인간, KMS, Katana, Wind, Crystal"
히이나,Heena,04_data/images/character_art/101020121_rank5_command.png,,,,"동방, Land of Ro, Machinery, Katana, Wind"
유키노,Yukino,04_data/images/character_art/101050131_rank5_command.png,,,,"동방, Fairy, Bow, Water"
츠키하 AS,Tsukiha (Another Style),04_data/images/character_art/101020081_s2_rank5_command.png,,,,
베르트랑 AS,Bertrand (Another Style),04_data/images/character_art/101040101_s2_rank5_command.png,,,,
클레스,Cress,04_data/images/character_art/101430011_rank5_command.png,,,,"Concerto Artes, 테일즈 오브, Sword, Fire"
미라,Milla,04_data/images/character_art/101430031_rank5_command.png,,,,"Concerto Artes, 테일즈 오브, Sword, Water"
벨벳,Velvet,04_data/images/character_art/101430041_rank5_command.png,,,,"Concerto Artes, 테일즈 오브, Sword, Earth"
유리,Yuri,04_data/images/character_art/101430021_rank5_command.png,,,,"Concerto Artes, 테일즈 오브, Katana, Wind"
클라르테,Clarte,04_data/images/character_art/101000261_rank5_command.png,,,,"기억 상실, 지오, West, Staff, Earth, Crystal"
미스트레아,Mistrare,04_data/images/character_art/101050121_rank5_command.png,,,,"Minstrel, 독서가, Nicknamer, West, Bow, Wind, Crystal"
스컬,Skull,04_data/images/character_art/101400011_rank5_command.png,,,,"가면, 마음의 괴도단, 총, Hammer, Thunder"
빅트,Victor,04_data/images/character_art/101020111_rank5_command.png,,,,"바르오키, Cursed, Katana, Wind, Thunder"
바이올렛,Violet,04_data/images/character_art/101400071_rank5_command.png,,,,"가면, 마음의 괴도단, Glutton, 총, Sword, Earth"
포란 AS,Foran (Another Style),04_data/images/character_art/101040051_s2_rank5_command.png,,,,
틸릴,Thillelille,04_data/images/character_art/101010121_rank5_command.png,,,,"Clergy, Sweet tooth, West, Sword, Fire, Shade"
시엘 AS,Ciel (Another Style),04_data/images/character_art/101050021_s2_rank5_command.png,,,,
유인,Yipha,04_data/images/character_art/101070101_rank5_command.png,,,,"Clergy, 상사병, Nicknamer, Spicy Lover, Hammer, Wind"
섀넌 AS,Shannon (Another Style),04_data/images/character_art/101010091_s2_rank5_command.png,,,,
하디,Hardy,04_data/images/character_art/101060131_rank5_command.png,,,,"Sweet tooth, Dog lover, 총, 무법자, Weapons, Zoology, Fists, Fire"
소피아,Sophia,04_data/images/character_art/101030141_rank5_command.png,,,,"미술, Bind, 미식, Weapons, Zoology, Ax, Water"
신시아,Cynthia,04_data/images/character_art/101010101_rank5_command.png,,,,"미술, Bind, 독서가, 미식, 왕족, Sword, Wind"
베이나 AS,Veina (Another Style),04_data/images/character_art/101000011_s2_rank5_command.png,,,,
제빌로,Zeviro,04_data/images/character_art/101030131_rank5_command.png,,,,"마수, 후드, 프리아레스, Ax, Water"
아나벨 AS,Anabel (Another Style),04_data/images/character_art/101010011_s2_rank5_command.png,,,,
라디아스,Radias,04_data/images/character_art/101010111_rank5_command.png,,,,"미글렌스 왕궁, 방패, Sword, Fire"
뮬루스 AS,Myrus (Another Style),04_data/images/character_art/101000221_s2_rank5_command.png,,,,
렌리 AS,Renri (Another Style),04_data/images/character_art/101030091_s2_rank5_command.png,,,,
티라미수,Tiramisu,04_data/images/character_art/101040121_rank5_command.png,,,,"Sweet tooth, 용, Lance, Earth"
엘가 AS,Elga (Another Style),04_data/images/character_art/101020091_s2_rank5_command.png,,,,
펠미나 AS,Felmina (Another Style),04_data/images/character_art/101060091_s2_rank5_command.png,,,,
밍화,Myunfa,04_data/images/character_art/101070091_rank5_command.png,,,,"동방, Bind, Land of Shin, 상사병, Hammer, Earth"
세티 AS,Cetie (Another Style),04_data/images/character_art/101040091_s2_rank5_command.png,,,,
알테나,Altena,04_data/images/character_art/101800111_rank5_command.png,,,,"마수, Demon Sword, 왕족, Spirit Talker, Bow"
키쿄,Kikyo,04_data/images/character_art/101030121_rank5_command.png,,,,"Cat lover, 동방, Avenger, Mounted, Ax, Wind"
니케 AS,Nikeh (Another Style),04_data/images/character_art/101020021_s2_rank5_command.png,,,,
스트로보이 (힐러),Strawboy (Healer),04_data/images/character_art/101170041_rank5_command.png,,,,
스트로보이 (타격),Strawboy (Blunt),04_data/images/character_art/101160041_rank5_command.png,,,,
스트로보이 (참격),Strawboy (Slash),04_data/images/character_art/101110041_rank5_command.png,,,,
스트로보이 (관통),Strawboy (Pierce),04_data/images/character_art/101140041_rank5_command.png,,,,
스트로보이 (마법),Strawboy (Magic),04_data/images/character_art/101100041_rank5_command.png,,,,
클로드 AS,Claude (Another Style),04_data/images/character_art/101050081_s2_rank5_command.png,,,,
프레메아,Premaya,04_data/images/character_art/101050111_rank5_command.png,,,,"요리, Lost Laboratory, Machinery, Bow, Earth"
가리유 AS,Gariyu (Another Style),04_data/images/character_art/101000081_s2_rank5_command.png,,,,
유나 AS,Yuna (Another Style),04_data/images/character_art/101000121_s2_rank5_command.png,,,,
셰이네 AS,Shanie (Another Style),04_data/images/character_art/101010081_s2_rank5_command.png,,,,
루이나 AS,Ruina (Another Style),04_data/images/character_art/101010031_s2_rank5_command.png,,,,
히스메나,Hismena,04_data/images/character_art/101040111_rank5_command.png,,,,"IDA 스쿨, Lance, Water"
마나,Mana,04_data/images/character_art/101050101_rank5_command.png,,,,"IDA 스쿨, Bow"
마리엘 AS,Mariel (Another Style),04_data/images/character_art/101000031_s2_rank5_command.png,,,,
듀나리스,Dunarith,04_data/images/character_art/101000251_rank5_command.png,,,,"마수, Animal Talker, 장례, 프리아레스, Staff, Wind"
로키드 AS,Lokido (Another Style),04_data/images/character_art/101060031_s2_rank5_command.png,,,,
러블리,Lovely,04_data/images/character_art/101060121_rank5_command.png,,,,"요리, 드워프, Nicknamer, Fists, Fire"
필로,Philo,04_data/images/character_art/101030111_rank5_command.png,,,,"Woodcutter, Ax, Water"
나기 AS,Nagi (Another Style),04_data/images/character_art/101030071_s2_rank5_command.png,,,,
아카네 AS,Akane (Another Style),04_data/images/character_art/101020051_s2_rank5_command.png,,,,
조커,Joker,04_data/images/character_art/101410011_rank5_command.png,,,,"안경, 가면, 마음의 괴도단, 총, Sword, Fire"
모르가나,Morgana,04_data/images/character_art/101420011_rank5_command.png,,,,"마음의 괴도단, 기억 상실, 상사병, Sword, Wind"
로제타,Rosetta,04_data/images/character_art/101000241_rank5_command.png,,,,"Cat lover, Clergy, Sharp Ears, West, Staff, Fire"
시구레,Shigure,04_data/images/character_art/101020101_rank5_command.png,,,,"Cat lover, 죽마고우, 동방, Itto-Ryu, Land of Mi, Mounted, Spicy Lover, Katana, Water"
츠바메,Tsubame,04_data/images/character_art/101060111_rank5_command.png,,,,"동방, Glutton, Land of Mi, Ninja, Fists, Earth"
메리나 AS,Melina (Another Style),04_data/images/character_art/101070061_s2_rank5_command.png,,,,
비아카,Biaka,04_data/images/character_art/101070081_rank5_command.png,,,,"가면, 총, 밀리터리, 무법자, Hammer, Wind"
갤리어드,Galliard,04_data/images/character_art/101800063_rank5_command.png,,,,"합성인간, 총, Mounted, 무법자, Lance, Earth"
호오즈키,Hozuki,04_data/images/character_art/101050091_rank5_command.png,,,,"요리, 동방, Fairy, Land of Shin, Spicy Lover, Bow, Fire"
라클레어 AS,Laclair (Another Style),04_data/images/character_art/101050061_s2_rank5_command.png,,,,
이루루,Ilulu,04_data/images/character_art/101030101_rank5_command.png,,,,"가면, 후드, 프리아레스, Ax, Wind"
라디카,Radica,04_data/images/character_art/101000171_rank5_command.png,,,,"엘프, 상사병, Staff, Fire"
