캐릭터명,English_Name,캐릭터아이콘경로,희귀도,속성명리스트,무기명리스트,퍼스널리티리스트,속성_아이콘경로리스트,무기_아이콘경로리스트,방어구_아이콘경로리스트,속성장비_정보,출시일
먹빛의 책사 AS,Jet Tactician (Another Style),04_data\images\character_art\icons\101000301_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000000 icon.png|216000004 icon.png,2025-03-19
Kuramaru,Kuramaru,04_data\images\character_art\icons\2000000018_command.png,4★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2025-03-19
코마치 AS,Komachi AS,04_data\images\character_art\icons\101040011_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000004 icon.png|216000002 icon.png,2025-03-06
빙무의 가희,Hoarfrost Songstress,04_data\images\character_art\icons\101050201_rank5_command.png,5★ SA,물,활,"Eastern, Minstrel, Fairy, Bow, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000005 icon.png|216000004 icon.png,2025-02-20
쿨레르보 AS,Krervo AS,04_data\images\character_art\icons\101000071_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2025-02-06
카구라메,Kagurame,04_data\images\character_art\icons\101070161_rank5_command.png,4~5★ SA,그림자,망치,"Eastern, Fairy, Funeral, Sharp Ears, Hammer, Shade",04_data/images/character_art/elements_equipment/shade_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 32.png|202000007 icon.png|216000002 icon.png,2025-01-23
적막의 연기자,Forlorn Thespian,04_data\images\character_art\icons\101010191_rank5_command.png,5★ SA,땅,검,"Beast, Bookworm, Sword, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000001 icon.png|216000002 icon.png,2025-01-09
네코코 ES,Necoco ES,04_data\images\character_art\icons\101030151_s3_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000005 icon.png|216000004 icon.png,2024-12-30
엘실 AS,Elseal AS,04_data\images\character_art\icons\101010161_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000001 icon.png|216000002 icon.png,2024-12-19
엠펠,Empel,04_data\images\character_art\icons\101460141_rank5_command.png,4~5★ SA,,지팡이,"Glasses, Atelier, Bookworm, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2024-12-05
이드,Id,04_data\images\character_art\icons\101060191_rank5_command.png,4~5★ SA,땅,권갑,"Purgatory, Fists, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000006 icon.png|216000003 icon.png,2024-12-05
Hazama,Hazama,04_data\images\character_art\icons\2000000015_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2024-12-05
클라우디아,Klaudia,04_data\images\character_art\icons\101460131_rank5_command.png,4~5★ SA,물,활,"Cooking, Atelier, Bow, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000005 icon.png|216000004 icon.png,2024-12-05
라이자,Ryza,04_data\images\character_art\icons\101460121_rank5_command.png,4~5★ SA,불,지팡이,"Atelier, Forager, Miner, Staff, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000000 icon.png|216000004 icon.png,2024-12-05
이즈나,Izuna,04_data\images\character_art\icons\101000391_rank5_command.png,4~5★ SA,번개,지팡이,"Eastern, Mask, Amnesia, Estrangement, Staff, Thunder",04_data/images/character_art/elements_equipment/thunder_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 16.png|202000000 icon.png|216000004 icon.png,2024-11-21
루프스 AS,Rufus AS,04_data\images\character_art\icons\101060051_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000006 icon.png|216000003 icon.png,2024-11-07
까마귀 밤의 밀정,Nocturne Ninja,04_data\images\character_art\icons\101060181_rank5_command.png,5★ SA,바람,권갑,"Cat lover, Eastern, Glutton, Land of Mi, Ninja, Fists, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 4.png|202000006 icon.png|216000003 icon.png,2024-10-24
세스타 AS,Sesta AS,04_data\images\character_art\icons\101020161_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000002 icon.png|216000004 icon.png,2024-10-10
센야,Senya,04_data\images\character_art\icons\101020191_rank5_command.png,5★ SA,"불, 그림자",도,"Eastern, Avenger, Cursed, Fairy, Hood, Land of Mi, Katana, Fire, Shade",04_data/images/character_art/elements_equipment/fire_icon.png|04_data/images/character_art/elements_equipment/shade_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 32.png|Skill Type 8 1.png|202000002 icon.png|216000004 icon.png,2024-09-19
시구레 ES,Shigure ES,04_data\images\character_art\icons\101020101_s3_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000002 icon.png|216000004 icon.png,2024-09-19
링리 AS,Lingli AS,04_data\images\character_art\icons\101060021_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000006 icon.png|216000003 icon.png,2024-09-05
쿨라,Kula,04_data\images\character_art\icons\101460051_rank5_command.png,5★ SA,물,권갑,"Sweet tooth, KOF, MMA, Fists, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000006 icon.png|216000003 icon.png,2024-08-22
쿄,Kyo,04_data\images\character_art\icons\101460021_rank5_command.png,5★ SA,불,권갑,"KOF, MMA, Mounted, Fists, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000006 icon.png|216000003 icon.png,2024-08-22
마이,Mai,04_data\images\character_art\icons\101460041_rank5_command.png,5★ SA,불,권갑,"KOF, Lovesick, MMA, Ninja, Fists, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000006 icon.png|216000003 icon.png,2024-08-22
가시나무 저주의 여인,Thornbound Witch,04_data\images\character_art\icons\101070151_rank5_command.png,5★ SA,"바람, 그림자",망치,"Cat lover, Cursed, Hood, Lovesick, Hammer, Wind, Shade",04_data/images/character_art/elements_equipment/wind_icon.png|04_data/images/character_art/elements_equipment/shade_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|Skill Type 8 32.png|202000007 icon.png|216000002 icon.png,2024-08-22
테리,Terry,04_data\images\character_art\icons\101460031_rank5_command.png,5★ SA,땅,권갑,"KOF, MMA, Fists, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000006 icon.png|216000003 icon.png,2024-08-22
질버 AS,Zilva AS,04_data\images\character_art\icons\101030081_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|Skill Type 8 2.png|202000003 icon.png|216000003 icon.png,2024-08-08
우츠하라,Utpalaka,04_data\images\character_art\icons\101030211_rank5_command.png,4~5★ SA,번개,도끼,"Arcadia, Dragon, Dragon Killer, Purgatory, Ax, Thunder",04_data/images/character_art/elements_equipment/thunder_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 16.png|202000003 icon.png|216000003 icon.png,2024-07-25
도희의 자객,Undercover Scribe,04_data\images\character_art\icons\101060171_rank5_command.png,5★ SA,불,권갑,"Bookworm, Gun, Outlaw, Spicy Lover, Fists, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000006 icon.png|216000003 icon.png,2024-07-04
미나르카 AS,Minalca AS,04_data\images\character_art\icons\101010131_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2024-06-20
Tetra (Another Style),Tetra (Another Style),04_data\images\character_art\icons\2000000001_s2_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2024-06-20
피네 AS,Feinne AS,04_data\images\character_art\icons\101900011_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2024-06-06
질퍼니,Jillfunny,04_data\images\character_art\icons\101010181_rank5_command.png,4~5★ SA,"물, 결정",검,"Cat lover, Amnesia, Hood, Sword, Water, Crystal",04_data/images/character_art/elements_equipment/water_icon.png|04_data/images/character_art/elements_equipment/crystal_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|Skill Type 8 64.png|202000001 icon.png|216000002 icon.png,2024-06-06
Pyggie,Pyggie,04_data\images\character_art\icons\2000000013_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2024-06-06
Thysía,Thysía,04_data\images\character_art\icons\2000000014_rank5_command.png,3~5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2024-06-06
마츠리카,Mazrika,04_data\images\character_art\icons\101030201_rank5_command.png,4~5★ SA,물,도끼,"Beast, Sweet tooth, Hood, Napper, Purgatory, Ax, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000003 icon.png|216000003 icon.png,2024-05-23
야쿠모 AS,Yakumo AS,04_data\images\character_art\icons\101000331_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 32.png|202000000 icon.png|216000004 icon.png,2024-05-09
Kumos (Another Style),Kumos (Another Style),04_data\images\character_art\icons\2000000006_s2_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2024-05-09
전영의 샛별,Virtual Reflection,04_data\images\character_art\icons\101070141_rank5_command.png,5★ SA,"땅, 번개",망치,"Mask, Sweet tooth, Hood, Hammer, Earth, Thunder",04_data/images/character_art/elements_equipment/earth_icon.png|04_data/images/character_art/elements_equipment/thunder_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|Skill Type 8 16.png|202000007 icon.png|216000002 icon.png,2024-04-25
아나벨 ES,Anabel ES,04_data\images\character_art\icons\101010011_s3_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000004 icon.png|216000002 icon.png,2024-04-12
셴화,Xianhua,04_data\images\character_art\icons\101000381_rank5_command.png,4~5★ SA,,지팡이,"Eastern, Scientist, Synth Human, KMS, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2024-04-12
쿠치나와,Kuchinawa,04_data\images\character_art\icons\101000371_rank5_command.png,4~5★ SA,땅,지팡이,"Arcadia, Staff, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000000 icon.png|216000004 icon.png,2024-03-21
히나기쿠 AS,Daisy AS,04_data\images\character_art\icons\101070111_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000007 icon.png|216000002 icon.png,2024-03-08
이벨라 AS,Ewella AS,04_data\images\character_art\icons\101040141_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|Skill Type 8 64.png|202000004 icon.png|216000002 icon.png,2024-02-22
사잔카,Sazanca,04_data\images\character_art\icons\101030191_rank5_command.png,4~5★ SA,불,도끼,"Eastern, Arcadia, Dragon Killer, Forager, Glutton, Shield, Ax, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000003 icon.png|216000003 icon.png,2024-02-08
멜피피아,Melpiphia,04_data\images\character_art\icons\101010171_rank5_command.png,4~5★ SA,바람,검,"Elf, Arcadia, Nicknamer, Sword, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000001 icon.png|216000002 icon.png,2024-01-26
Iridian (Attack),Iridian (Attack),04_data\images\character_art\icons\2009000001_command.png,4★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2024-01-26
Iridian (Defense),Iridian (Defense),04_data\images\character_art\icons\2009000002_command.png,4★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2024-01-26
Iridian (Heal),Iridian (Heal),04_data\images\character_art\icons\2009000003_command.png,4★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2024-01-26
국화의검색,Blooming Blade,04_data\images\character_art\icons\101020181_rank5_command.png,5★ SA,땅,도,"Eastern, Itto-Ryu, Land of Mi, Katana, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000002 icon.png|216000004 icon.png,2024-01-22
틸릴 ES,Thillelille ES,04_data\images\character_art\icons\101010121_s3_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 64.png|202000001 icon.png|216000002 icon.png,2024-01-16
Moke,Moke,04_data\images\character_art\icons\2000000012_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2024-01-16
알마 AS,Alma AS,04_data\images\character_art\icons\101050171_s2_rank5_command.png,5★ SA,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 64.png|202000005 icon.png|216000004 icon.png,2024-01-09
웨네피카,Wenefica,04_data\images\character_art\icons\101050191_rank5_command.png,4~5★ SA,"물, 그림자",활,"Avenger, Baruoki, Cursed, Bow, Water, Shade",04_data/images/character_art/elements_equipment/water_icon.png|04_data/images/character_art/elements_equipment/shade_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|Skill Type 8 32.png|202000005 icon.png|216000004 icon.png,2023-12-28
