Korean_Name,English_Name,Personalities_List
노나,Nona,"기억 상실, 후드, 왕족, Bow, Water, Shade"
오를레아,Orleya,"Estrangement, Ax, Fire, Thunder"
미르샤 AS,Milsha (Another Style),"Minstrel, Fishman, West, Lance, Earth, Shade"
필로 AS,Philo (Another Style),"Woodcutter, Ax, Water"
오토하 AS,Otoha (Another Style),"Cat lover, 동방, Land of Mi, Zoology, Katana, Earth"
마유,Mayu,"IDA 스쿨, Staff, Water"
수제트 ES,Suzette (Extra Style),"Sweet tooth, 미식, Lost Laboratory, Lance, Wind"
은빛을 휘감은 번개술사,Silver Striker,"Lost Laboratory, Machinery, Bow, Water, Thunder"
별이,Starky,"Scars of the Wheel of Time, Staff, Crystal"
보라 의상의 창술사,Violet Lancer,"기억 상실, Lost Laboratory, Lance, Earth"
플람라피스,Flammelapis,"Clergy, Demon Sword, Glutton, 타이탄, Staff, Water"
미스트레아 AS,Mistrare (Another Style),"Minstrel, 독서가, Nicknamer, West, Bow, Wind, Crystal"
푸른 빛의 낫잡이,Cyan Scyther,"Sweet tooth, 미식, Lost Laboratory, Ax, Wind"
빨간 외투의 화염술사,Red Clad Flam.,"IDA 스쿨, 총, 후드, Lost Laboratory, Fists, Fire, Crystal"
제빌로 AS,Zeviro (Another Style),"마수, 후드, 프리아레스, Ax, Water"
검은 옷의 칼잡이,Black Clad Sw.,"Lost Laboratory, Power to Rule, Katana, Earth, Shade"
에바,Eva,"용, Staff, Water, Crystal"
큐리오,Curio,"IDA 스쿨, Sweet tooth, 독서가, Lost Laboratory, Power to Rule, Katana, Wind, Shade"
이스카 ES,Isuka (Extra Style),"IDA 스쿨, 독서가, COA, Lost Laboratory, Power to Rule, Katana, Wind"
히나기쿠,Daisy,"Dog lover, 프리아레스, Spicy Lover, Hammer, Earth"
레비아 AS,Levia (Another Style),"용궁, 기억 상실, Bind, Fishman, Staff, Water"
나기 ES,Nagi (Extra Style),"용궁, Glutton, 왕족, Ax, Earth"
츠쿠요미,Harle,"New Time Drift, Scars of the Wheel of Time, Staff, Fire, Shade"
키드,Kid,"New Radical Dreamers, Scars of the Wheel of Time, Katana, Fire"
키쿄 AS,Kikyo (Another Style),"Cat lover, 동방, Avenger, Mounted, Ax, Wind"
세르주,Serge,"New Radical Dreamers, New Time Drift, Scars of the Wheel of Time, Sword"
피치카,Pizzica,"Minstrel, 북방, Bow, Fire"
시에라 AS,Sheila (Another Style),"용궁, Fishman, 왕족, Lance, Water"
하디 AS,Hardy (Another Style),"Sweet tooth, Dog lover, 총, 무법자, Weapons, Zoology, Fists, Fire"
치요 AS,Chiyo (Another Style),"용궁, Staff, Earth"
빅트 AS,Victor (Another Style),"바르오키, Cursed, Katana, Wind, Thunder"
밍화 AS,Myunfa (Another Style),"동방, Bind, Land of Shin, 상사병, Hammer, Earth"
가람배럴,Garambarrel,"동방, Cursed, 타이탄, Lance, Wind"
네코코,Necoco,"Cat lover, 동방, Animal Talker, Fairy, Land of Mi, Ax, Earth"
츠키하 ES,Tsukiha (Extra Style),"동방, 가면, Avenger, Cursed, Fairy, Land of Ro, 왕족, Katana, Fire"
츠바메 AS,Tsubame (Another Style),"동방, Glutton, Land of Mi, Ninja, Fists, Earth"
멜로디,Melody,"IDA 스쿨, Estrangement, Staff, Wind"
클라르테 AS,Clarte (Another Style),"기억 상실, 지오, West, Staff, Earth, Crystal"
틸릴 AS,Thillelille (Another Style),"Clergy, Sweet tooth, West, Sword, Fire, Shade"
티라미수 AS,Tiramisu (Another Style),"Sweet tooth, 용, Lance, Earth"
시구레 AS,Shigure (Another Style),"Cat lover, 죽마고우, 동방, Itto-Ryu, Land of Mi, Mounted, Spicy Lover, Katana, Water"
메리나 ES,Melina (Extra Style),"Clergy, Minstrel, Sweet tooth, Miner, 왕족, West, Hammer, Water"
듀나리스 AS,Dunarith (Another Style),"마수, Animal Talker, 장례, 프리아레스, Staff, Wind"
이벨라,Ewella,"엘프, Lance, Water, Crystal"
미유 AS,Miyu (Another Style),"미글렌스 왕궁, 왕족, Sword, Fire"
라디카 AS,Radica (Another Style),"엘프, 상사병, Staff, Fire"
히스메나 AS,Hismena (Another Style),"IDA 스쿨, Lance, Water"
미르샤,Milsha,"Minstrel, Fishman, West, Lance, Earth, Shade"
유인 AS,Ewan (Another Style),"안경, Sweet tooth, Cursed, Miner, Weapons, Hammer, Fire"
이루루 AS,Ilulu (Another Style),"가면, 후드, 프리아레스, Ax, Wind"
호오즈키 AS,Hozuki (Another Style),"요리, 동방, Fairy, Land of Shin, Spicy Lover, Bow, Fire"
로제타 AS,Rosetta (Another Style),"Cat lover, Clergy, Sharp Ears, West, Staff, Fire"
멜리사,Melissa,"합성인간, KMS, Katana, Wind, Crystal"
히이나,Heena,"동방, Land of Ro, Machinery, Katana, Wind"
유키노,Yukino,"동방, Fairy, Bow, Water"
츠키하 AS,Tsukiha (Another Style),"동방, 가면, Avenger, Cursed, Fairy, Land of Ro, 왕족, Katana, Fire"
베르트랑 AS,Bertrand (Another Style),"미글렌스 왕궁, 방패, Lance, Earth"
클레스,Cress,"Concerto Artes, 테일즈 오브, Sword, Fire"
미라,Milla,"Concerto Artes, 테일즈 오브, Sword, Water"
벨벳,Velvet,"Concerto Artes, 테일즈 오브, Sword, Earth"
유리,Yuri,"Concerto Artes, 테일즈 오브, Katana, Wind"
클라르테,Clarte,"기억 상실, 지오, West, Staff, Earth, Crystal"
미스트레아,Mistrare,"Minstrel, 독서가, Nicknamer, West, Bow, Wind, Crystal"
스컬,Skull,"가면, 마음의 괴도단, 총, Hammer, Thunder"
빅트,Victor,"바르오키, Cursed, Katana, Wind, Thunder"
바이올렛,Violet,"가면, 마음의 괴도단, Glutton, 총, Sword, Earth"
포란 AS,Foran (Another Style),"IDA 스쿨, Cat Hater, Lance, Water"
틸릴,Thillelille,"Clergy, Sweet tooth, West, Sword, Fire, Shade"
시엘 AS,Ciel (Another Style),"Minstrel, Bow, Earth"
유인,Yipha,"Clergy, 상사병, Nicknamer, Spicy Lover, Hammer, Wind"
섀넌 AS,Shannon (Another Style),"Cat lover, 미술, KMS, Sword, Wind"
하디,Hardy,"Sweet tooth, Dog lover, 총, 무법자, Weapons, Zoology, Fists, Fire"
소피아,Sophia,"미술, Bind, 미식, Weapons, Zoology, Ax, Water"
신시아,Cynthia,"미술, Bind, 독서가, 미식, 왕족, Sword, Wind"
베이나 AS,Veina (Another Style),"엘프, 독서가, Forager, Zoology, Staff, Wind"
제빌로,Zeviro,"마수, 후드, 프리아레스, Ax, Water"
아나벨 AS,Anabel (Another Style),"미글렌스 왕궁, Sweet tooth, Mounted, 방패, Sword, Water"
Radi AS,Radias,"미글렌스 왕궁, 방패, Sword, Fire"
뮬루스 AS,Myrus (Another Style),"마수, Staff, Earth"
렌리 AS,Renri (Another Style),"안경, Sweet tooth, COA, Ax, Fire"
티라미수,Tiramisu,"Sweet tooth, 용, Lance, Earth"
엘가 AS,Elga (Another Style),"Cat lover, 기억 상실, 후드, Katana, Earth"
펠미나 AS,Felmina (Another Style),"미글렌스 왕궁, 후드, Ninja, 무법자, Fists, Wind"
밍화,Myunfa,"동방, Bind, Land of Shin, 상사병, Hammer, Earth"
세티 AS,Cetie (Another Style),"안경, COA, Mounted, Lance, Fire"
알테나,Altena,"마수, Demon Sword, 왕족, Spirit Talker, Bow"
키쿄,Kikyo,"Cat lover, 동방, Avenger, Mounted, Ax, Wind"
니케 AS,Nikeh (Another Style),"동방, 무법자, Katana, Water"
Strawboy (Magic),Strawboy (Magic),"동방, Straw Dummy, Fists"
Strawboy (Slash),Strawboy (Slash),"동방, Straw Dummy, Fists"
Strawboy (Blunt),Strawboy (Blunt),"동방, Straw Dummy, Fists"
Strawboy (Pierce),Strawboy (Pierce),"동방, Straw Dummy, Fists"
Strawboy (Healer),Strawboy (Healer),"동방, Straw Dummy, Fists"
클로드 AS,Claude (Another Style),"IDA 스쿨, 독서가, 용, 왕족, Bow, Wind"
프레메아,Premaya,"요리, Lost Laboratory, Machinery, Bow, Earth"
가리유 AS,Gariyu (Another Style),"용, Staff, Fire"
유나 AS,Yuna (Another Style),"Clergy, 동방, Estrangement, Staff"
셰이네 AS,Shanie (Another Style),"Cursed, 상사병, Sword, Water"
루이나 AS,Ruina (Another Style),"엘프, 안경, IDA 스쿨, 독서가, Sword, Wind"
히스메나,Hismena,"IDA 스쿨, Lance, Water"
마나,Mana,"IDA 스쿨, Bow"
마리엘 AS,Mariel (Another Style),"Cat lover, Clergy, Staff"
듀나리스,Dunarith,"마수, Animal Talker, 장례, 프리아레스, Staff, Wind"
로키드 AS,Lokido (Another Style),"마수, Avenger, Fists, Earth"
러블리,Lovely,"요리, 드워프, Nicknamer, Fists, Fire"
필로,Philo,"Woodcutter, Ax, Water"
나기 AS,Nagi (Another Style),"용궁, Glutton, 왕족, Ax, Earth"
아카네 AS,Akane (Another Style),"동방, Itto-Ryu, Land of Mi, Katana, Fire"
조커,Joker,"안경, 가면, 마음의 괴도단, 총, Sword, Fire"
모르가나,Morgana,"마음의 괴도단, 기억 상실, 상사병, Sword, Wind"
로제타,Rosetta,"Cat lover, Clergy, Sharp Ears, West, Staff, Fire"
시구레,Shigure,"Cat lover, 죽마고우, 동방, Itto-Ryu, Land of Mi, Mounted, Spicy Lover, Katana, Water"
츠바메,Tsubame,"동방, Glutton, Land of Mi, Ninja, Fists, Earth"
메리나 AS,Melina (Another Style),"Clergy, Minstrel, Sweet tooth, Miner, 왕족, West, Hammer, Water"
비아카,Biaka,"가면, 총, 밀리터리, 무법자, Hammer, Wind"
갤리어드,Galliard,"합성인간, 총, Mounted, 무법자, Lance, Earth"
호오즈키,Hozuki,"요리, 동방, Fairy, Land of Shin, Spicy Lover, Bow, Fire"
라클레어 AS,Laclair (Another Style),"Avenger, Dog lover, Dragon Killer, Bow, Water"
이루루,Ilulu,"가면, 후드, 프리아레스, Ax, Wind"
라디카,Radica,"엘프, 상사병, Staff, Fire"
노포우족,Nopaew,"대장간, Estrangement, 후드, Miner, Hammer, Wind"
듀이,Dewey,"안경, 독서가, 총, Lost Laboratory, 상사병, Fists, Water"
시온 AS,Shion (Another Style),"Cat lover, 죽마고우, 동방, Itto-Ryu, Land of Mi, Mounted, Katana, Fire"
베이나,Veina,"엘프, 독서가, Forager, Zoology, Staff, Wind"
엘가,Elga,"Cat lover, 기억 상실, 후드, Katana, Earth"
투바 AS,Toova (Another Style),"장례, Nicknamer, Spirit-fused, Staff, Earth"
렌리,Renri,"안경, Sweet tooth, COA, Ax, Fire"
섀넌,Shannon,"Cat lover, 미술, KMS, Sword, Wind"
이스카 AS,Isuka (Another Style),"IDA 스쿨, 독서가, COA, Lost Laboratory, Power to Rule, Katana, Wind"
사키 AS,Saki (Another Style),"IDA 스쿨, Staff, Water"
클로드,Claude,"IDA 스쿨, 독서가, 용, 왕족, Bow, Wind"
마이티 AS,Mighty (Another Style),"IDA 스쿨, Napper, Staff, Water"
사키,Saki,"IDA 스쿨, Staff, Water"
츠키하,Tsukiha,"동방, 가면, Avenger, Cursed, Fairy, Land of Ro, 왕족, Katana, Fire"
베르트랑,Bertrand,"미글렌스 왕궁, 방패, Lance, Earth"
펠미나,Felmina,"미글렌스 왕궁, 후드, Ninja, 무법자, Fists, Wind"
길드너,Guildna,"마수, Luring Shadow, 왕족, Sword, Fire"
수제트 AS,Suzette (Another Style),"Sweet tooth, 미식, Lost Laboratory, Lance, Wind"
뮬루스,Myrus,"마수, Staff, Earth"
착한 마쿠마쿠,Good Macky,"Sweet tooth, Cat Hater, Fists, Wind"
메리나,Melina,"Clergy, Minstrel, Sweet tooth, Miner, 왕족, West, Hammer, Water"
노놀드,Nonold,"IDA 스쿨, 과학자, Forager, KMS, Staff"
질버,Zilva,"미술, Forager, 무법자, Ax, Earth"
셰이네,Shanie,"Cursed, 상사병, Sword, Water"
셀리느,Cerrine,"안경, IDA 스쿨, 무법자, Fists, Earth"
세티,Cetie,"안경, COA, Mounted, Lance, Fire"
야즈키,Yazuki,"안경, 무법자, Scallywag, Ax, Wind"
유인,Ewan,"안경, Sweet tooth, Cursed, Miner, Weapons, Hammer, Fire"
에리나,Erina,"Spirit-fused, Staff"
레비아,Levia,"용궁, 기억 상실, Bind, Fishman, Staff, Water"
나기,Nagi,"용궁, Glutton, 왕족, Ax, Earth"
치요,Chiyo,"용궁, Staff, Earth"
시에라,Sheila,"용궁, Fishman, 왕족, Lance, Water"
가리유,Gariyu,"용, Staff, Fire"
유나,Yuna,"Clergy, 동방, Estrangement, Staff"
라비나,Lovinia,"Minstrel, Spirit Talker, Bow, Wind"
이스카,Isuka,"IDA 스쿨, 독서가, COA, Lost Laboratory, Power to Rule, Katana, Wind"
제이드,Jade,"IDA 스쿨, Lance, Fire"
루이나,Ruina,"엘프, 안경, IDA 스쿨, 독서가, Sword, Wind"
아자미,Azami,"동방, Sweet tooth, Land of Mi, 상사병, Katana, Wind"
라클레어,Laclair,"Avenger, Dog lover, Dragon Killer, Bow, Water"
사모라,Samora,"요리, 드워프, 미식, Miner, Hammer, Fire"
아나벨,Anabel,"미글렌스 왕궁, Sweet tooth, Mounted, 방패, Sword, Water"
디아드라,Deirdre,"미글렌스 왕궁, 기억 상실, Demon Sword, 무법자, Sword, Earth"
네로,Nero,"동방, Land of Shin, MMA, Fists, Water"
아카네,Akane,"동방, Itto-Ryu, Land of Mi, Katana, Fire"
알도,Aldo,"Guiding Light, New Radical Dreamers, New Time Drift, Protagonist, 아르카디아, 바르오키, Concerto Artes, Demon Sword, 용, Forager, Itto-Ryu, Sword, Fire"
에이미,Amy,"대장간, 요리, Avenger, Spirit-fused, Fists, Wind"
베네디트,Benedict,"Forager, 무법자, Woodcutter, Ax, Wind"
비베트,Bivette,"Cat lover, Animal Talker, Spirit Talker, Staff, Fire"
브리아,Bria,"엘프, Fleareth, Lance, Water"
시엘,Ciel,"Minstrel, Bow, Earth"
사이러스 (스토리),Cyrus,"동방, Guiding Light, Cursed, Katana, Water"
피네,Feinne,"Cat lover, 요리, 바르오키, Demon Sword, 지오, Staff"
헬레나,Helena,"가면, 합성인간, Staff, Earth"
로키드,Lokido,"마수, Avenger, Fists, Earth"
마리엘,Mariel,"Cat lover, Clergy, Staff"
메이,May,"대장간, 안경, 바르오키, 상사병, Miner, Hammer, Earth"
마이티,Mighty,"IDA 스쿨, Napper, Staff, Water"
미유,Miyu,"미글렌스 왕궁, 왕족, Sword, Fire"
프라이,Prai,"Clergy, Miner, West, Hammer, Fire"
리이카,Riica,"Cat lover, KMS, Machinery, Miner, Hammer, Earth"
세빈,Sevyn,"안경, IDA 스쿨, Lost Laboratory, Spirit Talker, Staff, Wind"
시온,Shion,"Cat lover, 죽마고우, 동방, Itto-Ryu, Land of Mi, Mounted, Katana, Fire"
수제트,Suzette,"Sweet tooth, 미식, Lost Laboratory, Lance, Wind"
투바,Toova,"장례, Nicknamer, Spirit-fused, Staff, Earth"
브리노,Breeno,"엘프, 미글렌스 왕궁, Sword, Earth"
큐카,Cyuca,"가면, 무법자, Spicy Lover, Ax, Wind"
다르니스,Darunis,"바르오키, Forager, Bow, Wind"
데니,Denny,"Scallywag, Ax, Water"
포란,Foran,"IDA 스쿨, Cat Hater, Lance, Water"
코마치,Komachi,"동방, Land of Mi, Lance, Earth"
쿨레르보,Krervo,"안경, 과학자, Forager, KMS, Staff"
레레,Lele,"Cat lover, Animal Talker, Staff, Water"
링리,Lingli,"요리, 동방, Land of Shin, MMA, Fists, Fire"
미란다,Miranda,"Scallywag, Spicy Lover, Ax, Fire"
뮤론,Myron,"Clergy, Sword, Earth"
니케,Nikeh,"동방, 무법자, Katana, Water"
노마르,Nomar,"바르오키, Miner, Weapons, Lance, Water"
오토하,Otoha,"Cat lover, 동방, Land of Mi, Zoology, Katana, Earth"
파리사,Parisa,"Minstrel, Cursed, Bow, Fire"
폼,Pom,"과학자, Forager, 총, Staff"
레이븐,Raven,"가면, 기억 상실, 후드, Staff, Earth"
로벨라,Rovella,"Lost Laboratory, Machinery, 밀리터리, 무법자, Bow, Water"
루프스,Rufus,"독서가, Fists, Fire"
소이라,Soira,"미글렌스 왕궁, Napper, Lance, Wind"
이오,Yio,"Dragon Killer, Ax, Earth"
에이시아,Asia,"가면, Estrangement, Bow"
크토스,Ctos,"Fleareth, Hammer"
인,Een,"Machinery, Lance"
에무스,Emms,"Fleareth, Napper, Fists"
에스타,Esta,"Fleareth, Ax"
킬퀴어,Kilqia,"가면, Sharp Ears, Staff"
쿠트,Koot,"Machinery, Katana"
메네시아,Menesia,"가면, Katana"
나토레,Natore,"Fleareth, Ninja, Sword"
네일리아,Naylia,"가면, Sword"
닉사,Nixa,"Fleareth, Bow"
누므,Noome,"Machinery, Staff"
오르,Oor,"Machinery, Ax"
패시아,Pasia,"Cat lover, 가면, Animal Talker, Hammer"
로디아,Rodeia,"가면, Sweet tooth, Ax"
세스,Saithe,"Machinery, Bow"
사우리아,Sauria,"가면, Nicknamer, Lance"
테임,Tayme,"Machinery, Fists"
톰,Tohme,"Avenger, Fleareth, Katana"
톨,Toole,"Machinery, Hammer"
우라니아,Urania,"요리, 가면, Fists"
우오,Uuo,"Machinery, Sword"
이시스,Yssis,"Fleareth, Staff"
