English_Name,Korean_Name,Personalities_Korean,Personalities_Count,Personalities_List
Hardy,Hardy,"Sweet tooth, Dog lover, Gun, Outlaw, Weapons, Zoology, Fists, Fire",8,Sweet tooth|Dog lover|Gun|Outlaw|Weapons|Zoology|Fists|Fire
Hozuki,Hozuki,"Cooking, Eastern, Fairy, Land of Shin, Spicy Lover, Bow, Fire",7,Cooking|Eastern|Fairy|Land of Shin|Spicy Lover|Bow|Fire
Necoco,Necoco,"Cat lover, Eastern, Animal Talker, Fairy, Land of Mi, Ax, Earth",7,Cat lover|Eastern|Animal Talker|Fairy|Land of Mi|Ax|Earth
May,May,"Blacksmith, Glasses, Baruoki, Lovesick, Miner, Hammer, Earth",7,Blacksmith|Glasses|Baruoki|Lovesick|Miner|Hammer|Earth
Thornbound Witch,Thornbound Witch,"Cat lover, Cursed, Hood, Lovesick, Hammer, Wind, Shade",7,Cat lover|Cursed|Hood|Lovesick|Hammer|Wind|Shade
Nocturne Ninja,Nocturne Ninja,"Cat lover, Eastern, Glutton, Land of Mi, Ninja, Fists, Wind",7,Cat lover|Eastern|Glutton|Land of Mi|Ninja|Fists|Wind
Mazrika,Mazrika,"Beast, Sweet tooth, Hood, Napper, Purgatory, Ax, Water",7,Beast|Sweet tooth|Hood|Napper|Purgatory|Ax|Water
Ruby-Sleeved Merchant,Ruby-Sleeved Merchant,"Eastern, Itto-Ryu, Land of Mi, Scallywag, Spicy Lover, Sword, Earth",7,Eastern|Itto-Ryu|Land of Mi|Scallywag|Spicy Lover|Sword|Earth
Noble Blossom,Noble Blossom,"Eastern, Bookworm, Fairy, Land of Ro, Royalty, Lance, Fire",7,Eastern|Bookworm|Fairy|Land of Ro|Royalty|Lance|Fire
Dewey,Dewey,"Glasses, Bookworm, Gun, Lost Laboratory, Lovesick, Fists, Water",7,Glasses|Bookworm|Gun|Lost Laboratory|Lovesick|Fists|Water
Ewan,Ewan,"Glasses, Sweet tooth, Cursed, Miner, Weapons, Hammer, Fire",7,Glasses|Sweet tooth|Cursed|Miner|Weapons|Hammer|Fire
Red Clad Flam.,Red Clad Flam.,"IDA School, Gun, Hood, Lost Laboratory, Fists, Fire, Crystal",7,IDA School|Gun|Hood|Lost Laboratory|Fists|Fire|Crystal
Isuka,Isuka,"IDA School, Bookworm, COA, Lost Laboratory, Power to Rule, Katana, Wind",7,IDA School|Bookworm|COA|Lost Laboratory|Power to Rule|Katana|Wind
Mistrare,Mistrare,"Minstrel, Bookworm, Nicknamer, West, Bow, Wind, Crystal",7,Minstrel|Bookworm|Nicknamer|West|Bow|Wind|Crystal
Vermillion Whip,Vermillion Whip,"Cooking, Eastern, Fairy, Land of Shin, Spicy Lover, Lance, Fire",7,Cooking|Eastern|Fairy|Land of Shin|Spicy Lover|Lance|Fire
Cynthia,Cynthia,"Art, Bind, Bookworm, Gourmet, Royalty, Sword, Wind",7,Art|Bind|Bookworm|Gourmet|Royalty|Sword|Wind
Sophia,Sophia,"Art, Bind, Gourmet, Weapons, Zoology, Ax, Water",7,Art|Bind|Gourmet|Weapons|Zoology|Ax|Water
Shionne,Shionne,"Concerto Artes, Cursed, Glutton, Gun, Tales of, Bow, Fire",7,Concerto Artes|Cursed|Glutton|Gun|Tales of|Bow|Fire
Samora,Samora,"Cooking, Dwarf, Gourmet, Miner, Hammer, Fire",6,Cooking|Dwarf|Gourmet|Miner|Hammer|Fire
Yipha,Yipha,"Clergy, Lovesick, Nicknamer, Spicy Lover, Hammer, Wind",6,Clergy|Lovesick|Nicknamer|Spicy Lover|Hammer|Wind
Levia,Levia,"Dragon Palace, Amnesia, Bind, Fishman, Staff, Water",6,Dragon Palace|Amnesia|Bind|Fishman|Staff|Water
Thillelille,Thillelille,"Clergy, Sweet tooth, West, Sword, Fire, Shade",6,Clergy|Sweet tooth|West|Sword|Fire|Shade
Lingli,Lingli,"Cooking, Eastern, Land of Shin, MMA, Fists, Fire",6,Cooking|Eastern|Land of Shin|MMA|Fists|Fire
Azami,Azami,"Eastern, Sweet tooth, Land of Mi, Lovesick, Katana, Wind",6,Eastern|Sweet tooth|Land of Mi|Lovesick|Katana|Wind
Izuna,Izuna,"Eastern, Mask, Amnesia, Estrangement, Staff, Thunder",6,Eastern|Mask|Amnesia|Estrangement|Staff|Thunder
Kagurame,Kagurame,"Eastern, Fairy, Funeral, Sharp Ears, Hammer, Shade",6,Eastern|Fairy|Funeral|Sharp Ears|Hammer|Shade
Ruina,Ruina,"Elf, Glasses, IDA School, Bookworm, Sword, Wind",6,Elf|Glasses|IDA School|Bookworm|Sword|Wind
Tsubame,Tsubame,"Eastern, Glutton, Land of Mi, Ninja, Fists, Earth",6,Eastern|Glutton|Land of Mi|Ninja|Fists|Earth
Flammelapis,Flammelapis,"Clergy, Demon Sword, Glutton, Titan, Staff, Water",6,Clergy|Demon Sword|Glutton|Titan|Staff|Water
Riica,Riica,"Cat lover, KMS, Machinery, Miner, Hammer, Earth",6,Cat lover|KMS|Machinery|Miner|Hammer|Earth
Kikyo,Kikyo,"Cat lover, Eastern, Avenger, Mounted, Ax, Wind",6,Cat lover|Eastern|Avenger|Mounted|Ax|Wind
Jillfunny,Jillfunny,"Cat lover, Amnesia, Hood, Sword, Water, Crystal",6,Cat lover|Amnesia|Hood|Sword|Water|Crystal
Amy,Amy,"Blacksmith, Cooking, Avenger, Spirit-fused, Fists, Wind",6,Blacksmith|Cooking|Avenger|Spirit-fused|Fists|Wind
Otoha,Otoha,"Cat lover, Eastern, Land of Mi, Zoology, Katana, Earth",6,Cat lover|Eastern|Land of Mi|Zoology|Katana|Earth
Rosetta,Rosetta,"Cat lover, Clergy, Sharp Ears, West, Staff, Fire",6,Cat lover|Clergy|Sharp Ears|West|Staff|Fire
Alphen,Alphen,"Mask, Amnesia, Concerto Artes, Tales of, Sword, Fire",6,Mask|Amnesia|Concerto Artes|Tales of|Sword|Fire
Myunfa,Myunfa,"Eastern, Bind, Land of Shin, Lovesick, Hammer, Earth",6,Eastern|Bind|Land of Shin|Lovesick|Hammer|Earth
Joker,Joker,"Glasses, Mask, Phantom Thieves of Hearts, Gun, Sword, Fire",6,Glasses|Mask|Phantom Thieves of Hearts|Gun|Sword|Fire
Sevyn,Sevyn,"Glasses, IDA School, Lost Laboratory, Spirit Talker, Staff, Wind",6,Glasses|IDA School|Lost Laboratory|Spirit Talker|Staff|Wind
Veina,Veina,"Elf, Bookworm, Forager, Zoology, Staff, Wind",6,Elf|Bookworm|Forager|Zoology|Staff|Wind
Virtual Reflection,Virtual Reflection,"Mask, Sweet tooth, Hood, Hammer, Earth, Thunder",6,Mask|Sweet tooth|Hood|Hammer|Earth|Thunder
Biaka,Biaka,"Mask, Gun, Military, Outlaw, Hammer, Wind",6,Mask|Gun|Military|Outlaw|Hammer|Wind
Claude,Claude,"IDA School, Bookworm, Dragon, Royalty, Bow, Wind",6,IDA School|Bookworm|Dragon|Royalty|Bow|Wind
Ashtear,Ashtear,"Glasses, Scientist, Baruoki, Gun, Fists, Fire",6,Glasses|Scientist|Baruoki|Gun|Fists|Fire
Utpalaka,Utpalaka,"Arcadia, Dragon, Dragon Killer, Purgatory, Ax, Thunder",6,Arcadia|Dragon|Dragon Killer|Purgatory|Ax|Thunder
Wenefica,Wenefica,"Avenger, Baruoki, Cursed, Bow, Water, Shade",6,Avenger|Baruoki|Cursed|Bow|Water|Shade
Galliard,Galliard,"Synth Human, Gun, Mounted, Outlaw, Lance, Earth",6,Synth Human|Gun|Mounted|Outlaw|Lance|Earth
Milsha,Milsha,"Minstrel, Fishman, West, Lance, Earth, Shade",6,Minstrel|Fishman|West|Lance|Earth|Shade
Nilya,Nilya,"Dog lover, Forager, MMA, Nicknamer, Fists, Crystal",6,Dog lover|Forager|MMA|Nicknamer|Fists|Crystal
Mai,Mai,"KOF, Lovesick, MMA, Ninja, Fists, Fire",6,KOF|Lovesick|MMA|Ninja|Fists|Fire
Rovella,Rovella,"Lost Laboratory, Machinery, Military, Outlaw, Bow, Water",6,Lost Laboratory|Machinery|Military|Outlaw|Bow|Water
Cyrus Albright,Cyrus Albright,"Bookworm, Traveler, Staff, Fire, Water, Thunder",6,Bookworm|Traveler|Staff|Fire|Water|Thunder
Minalca,Minalca,"Chronos Empire, Glutton, Military, Outlaw, Sword, Fire",6,Chronos Empire|Glutton|Military|Outlaw|Sword|Fire
Kamlanage,Kamlanage,"Chronos Empire, Future Revolutionary, Paradoxical Dreamers' Leader, Prince of Time, Staff, Thunder",6,Chronos Empire|Future Revolutionary|Paradoxical Dreamers' Leader|Prince of Time|Staff|Thunder
Undercover Scribe,Undercover Scribe,"Bookworm, Gun, Outlaw, Spicy Lover, Fists, Fire",6,Bookworm|Gun|Outlaw|Spicy Lover|Fists|Fire
Felmina,Felmina,"Miglance Palace, Hood, Ninja, Outlaw, Fists, Wind",6,Miglance Palace|Hood|Ninja|Outlaw|Fists|Wind
Anabel,Anabel,"Miglance Palace, Sweet tooth, Mounted, Shield, Sword, Water",6,Miglance Palace|Sweet tooth|Mounted|Shield|Sword|Water
Nona,Nona,"Amnesia, Hood, Royalty, Bow, Water, Shade",6,Amnesia|Hood|Royalty|Bow|Water|Shade
Clarte,Clarte,"Amnesia, Geo, West, Staff, Earth, Crystal",6,Amnesia|Geo|West|Staff|Earth|Crystal
Wryz,Wryz,"Arcadia, Cursed, Dragon, Dragon Killer, Lance, Water",6,Arcadia|Cursed|Dragon|Dragon Killer|Lance|Water
Nopaew,Nopaew,"Blacksmith, Estrangement, Hood, Miner, Hammer, Wind",6,Blacksmith|Estrangement|Hood|Miner|Hammer|Wind
Dream Weaver,Dream Weaver,"Beast, Minstrel, Purgatory, Spicy Lover, Staff, Water",6,Beast|Minstrel|Purgatory|Spicy Lover|Staff|Water
Dunarith,Dunarith,"Beast, Animal Talker, Funeral, Purgatory, Staff, Wind",6,Beast|Animal Talker|Funeral|Purgatory|Staff|Wind
Alma,Alma,"Cat lover, Glasses, Alchemist, Gun, Bow, Crystal",6,Cat lover|Glasses|Alchemist|Gun|Bow|Crystal
Violet,Violet,"Mask, Phantom Thieves of Hearts, Glutton, Gun, Sword, Earth",6,Mask|Phantom Thieves of Hearts|Glutton|Gun|Sword|Earth
Deirdre,Deirdre,"Miglance Palace, Amnesia, Demon Sword, Outlaw, Sword, Earth",6,Miglance Palace|Amnesia|Demon Sword|Outlaw|Sword|Earth
Feinne,Feinne,"Cat lover, Cooking, Baruoki, Demon Sword, Geo, Staff",6,Cat lover|Cooking|Baruoki|Demon Sword|Geo|Staff
Nonold,Nonold,"IDA School, Scientist, Forager, KMS, Staff",5,IDA School|Scientist|Forager|KMS|Staff
Ilulu,Ilulu,"Mask, Hood, Purgatory, Ax, Wind",5,Mask|Hood|Purgatory|Ax|Wind
Krervo,Krervo,"Glasses, Scientist, Forager, KMS, Staff",5,Glasses|Scientist|Forager|KMS|Staff
Yazuki,Yazuki,"Glasses, Outlaw, Scallywag, Ax, Wind",5,Glasses|Outlaw|Scallywag|Ax|Wind
Garambarrel,Garambarrel,"Eastern, Cursed, Titan, Lance, Wind",5,Eastern|Cursed|Titan|Lance|Wind
Cerius,Cerius,"Arcadia, Dragon Killer, Spicy Lover, Bow, Earth",5,Arcadia|Dragon Killer|Spicy Lover|Bow|Earth
Kula,Kula,"Sweet tooth, KOF, MMA, Fists, Water",5,Sweet tooth|KOF|MMA|Fists|Water
Suzette,Suzette,"Sweet tooth, Gourmet, Lost Laboratory, Lance, Wind",5,Sweet tooth|Gourmet|Lost Laboratory|Lance|Wind
Harle,Harle,"New Time Drift, Scars of the Wheel of Time, Staff, Fire, Shade",5,New Time Drift|Scars of the Wheel of Time|Staff|Fire|Shade
Morgana,Morgana,"Phantom Thieves of Hearts, Amnesia, Lovesick, Sword, Wind",5,Phantom Thieves of Hearts|Amnesia|Lovesick|Sword|Wind
Skull,Skull,"Mask, Phantom Thieves of Hearts, Gun, Hammer, Thunder",5,Mask|Phantom Thieves of Hearts|Gun|Hammer|Thunder
Aisha,Aisha,"Minstrel, Cursed, Staff, Fire, Water",5,Minstrel|Cursed|Staff|Fire|Water
Beautiful Stranger,Beautiful Stranger,"Amnesia, Dog lover, KMS, Sword, Earth",5,Amnesia|Dog lover|KMS|Sword|Earth
Hoarfrost Songstress,Hoarfrost Songstress,"Eastern, Minstrel, Fairy, Bow, Water",5,Eastern|Minstrel|Fairy|Bow|Water
Shannon,Shannon,"Cat lover, Art, KMS, Sword, Wind",5,Cat lover|Art|KMS|Sword|Wind
Nagi,Nagi,"Dragon Palace, Glutton, Royalty, Ax, Earth",5,Dragon Palace|Glutton|Royalty|Ax|Earth
Bivette,Bivette,"Cat lover, Animal Talker, Spirit Talker, Staff, Fire",5,Cat lover|Animal Talker|Spirit Talker|Staff|Fire
Prai,Prai,"Clergy, Miner, West, Hammer, Fire",5,Clergy|Miner|West|Hammer|Fire
Premaya,Premaya,"Cooking, Lost Laboratory, Machinery, Bow, Earth",5,Cooking|Lost Laboratory|Machinery|Bow|Earth
Lovely,Lovely,"Cooking, Dwarf, Nicknamer, Fists, Fire",5,Cooking|Dwarf|Nicknamer|Fists|Fire
Altena,Altena,"Beast, Demon Sword, Royalty, Spirit Talker, Bow",5,Beast|Demon Sword|Royalty|Spirit Talker|Bow
Guildna,Guildna,"Beast, Luring Shadow, Royalty, Sword, Fire",5,Beast|Luring Shadow|Royalty|Sword|Fire
Elga,Elga,"Cat lover, Amnesia, Hood, Katana, Earth",5,Cat lover|Amnesia|Hood|Katana|Earth
Zeviro,Zeviro,"Beast, Hood, Purgatory, Ax, Water",5,Beast|Hood|Purgatory|Ax|Water
Porcelain Pixie,Porcelain Pixie,"Eastern, Bind, Land of Shin, Staff, Earth",5,Eastern|Bind|Land of Shin|Staff|Earth
Renri,Renri,"Glasses, Sweet tooth, COA, Ax, Fire",5,Glasses|Sweet tooth|COA|Ax|Fire
Cerrine,Cerrine,"Glasses, IDA School, Outlaw, Fists, Earth",5,Glasses|IDA School|Outlaw|Fists|Earth
Cetie,Cetie,"Glasses, COA, Mounted, Lance, Fire",5,Glasses|COA|Mounted|Lance|Fire
Xianhua,Xianhua,"Eastern, Scientist, Synth Human, KMS, Staff",5,Eastern|Scientist|Synth Human|KMS|Staff
Melpiphia,Melpiphia,"Elf, Arcadia, Nicknamer, Sword, Wind",5,Elf|Arcadia|Nicknamer|Sword|Wind
Blooming Blade,Blooming Blade,"Eastern, Itto-Ryu, Land of Mi, Katana, Earth",5,Eastern|Itto-Ryu|Land of Mi|Katana|Earth
Nero,Nero,"Eastern, Land of Shin, MMA, Fists, Water",5,Eastern|Land of Shin|MMA|Fists|Water
Akane,Akane,"Eastern, Itto-Ryu, Land of Mi, Katana, Fire",5,Eastern|Itto-Ryu|Land of Mi|Katana|Fire
Heena,Heena,"Eastern, Land of Ro, Machinery, Katana, Wind",5,Eastern|Land of Ro|Machinery|Katana|Wind
Cyrus,Cyrus,"Eastern, Guiding Light, Cursed, Katana, Water",5,Eastern|Guiding Light|Cursed|Katana|Water
Sheila,Sheila,"Dragon Palace, Fishman, Royalty, Lance, Water",5,Dragon Palace|Fishman|Royalty|Lance|Water
Melissa,Melissa,"Synth Human, KMS, Katana, Wind, Crystal",5,Synth Human|KMS|Katana|Wind|Crystal
Cyan Scyther,Cyan Scyther,"Sweet tooth, Gourmet, Lost Laboratory, Ax, Wind",5,Sweet tooth|Gourmet|Lost Laboratory|Ax|Wind
Ryza,Ryza,"Atelier, Forager, Miner, Staff, Fire",5,Atelier|Forager|Miner|Staff|Fire
Zilva,Zilva,"Art, Forager, Outlaw, Ax, Earth",5,Art|Forager|Outlaw|Ax|Earth
Raven,Raven,"Mask, Amnesia, Hood, Staff, Earth",5,Mask|Amnesia|Hood|Staff|Earth
Kyo,Kyo,"KOF, MMA, Mounted, Fists, Fire",5,KOF|MMA|Mounted|Fists|Fire
Black Clad Sw.,Black Clad Sw.,"Lost Laboratory, Power to Rule, Katana, Earth, Shade",5,Lost Laboratory|Power to Rule|Katana|Earth|Shade
Silver Striker,Silver Striker,"Lost Laboratory, Machinery, Bow, Water, Thunder",5,Lost Laboratory|Machinery|Bow|Water|Thunder
Iphi,Iphi,"Gun, Spicy Lover, Staff, Fire, Shade",5,Gun|Spicy Lover|Staff|Fire|Shade
Daisy,Daisy,"Dog lover, Purgatory, Spicy Lover, Hammer, Earth",5,Dog lover|Purgatory|Spicy Lover|Hammer|Earth
Benedict,Benedict,"Forager, Outlaw, Woodcutter, Ax, Wind",5,Forager|Outlaw|Woodcutter|Ax|Wind
Toova,Toova,"Funeral, Nicknamer, Spirit-fused, Staff, Earth",5,Funeral|Nicknamer|Spirit-fused|Staff|Earth
Laclair,Laclair,"Avenger, Dog lover, Dragon Killer, Bow, Water",5,Avenger|Dog lover|Dragon Killer|Bow|Water
Victor,Victor,"Baruoki, Cursed, Katana, Wind, Thunder",5,Baruoki|Cursed|Katana|Wind|Thunder
Nomar,Nomar,"Baruoki, Miner, Weapons, Lance, Water",5,Baruoki|Miner|Weapons|Lance|Water
Cyuca,Cyuca,"Mask, Outlaw, Spicy Lover, Ax, Wind",5,Mask|Outlaw|Spicy Lover|Ax|Wind
Ewella,Ewella,"Elf, Lance, Water, Crystal",4,Elf|Lance|Water|Crystal
Bria,Bria,"Elf, Fleareth, Lance, Water",4,Elf|Fleareth|Lance|Water
Komachi,Komachi,"Eastern, Land of Mi, Lance, Earth",4,Eastern|Land of Mi|Lance|Earth
Nikeh,Nikeh,"Eastern, Outlaw, Katana, Water",4,Eastern|Outlaw|Katana|Water
Yukino,Yukino,"Eastern, Fairy, Bow, Water",4,Eastern|Fairy|Bow|Water
Breeno,Breeno,"Elf, Miglance Palace, Sword, Earth",4,Elf|Miglance Palace|Sword|Earth
Lokido,Lokido,"Beast, Avenger, Fists, Earth",4,Beast|Avenger|Fists|Earth
Forlorn Thespian,Forlorn Thespian,"Beast, Bookworm, Sword, Earth",4,Beast|Bookworm|Sword|Earth
Yuna,Yuna,"Clergy, Eastern, Estrangement, Staff",4,Clergy|Eastern|Estrangement|Staff
Klaudia,Klaudia,"Cooking, Atelier, Bow, Water",4,Cooking|Atelier|Bow|Water
Lele,Lele,"Cat lover, Animal Talker, Staff, Water",4,Cat lover|Animal Talker|Staff|Water
Pasia,Pasia,"Cat lover, Mask, Animal Talker, Hammer",4,Cat lover|Mask|Animal Talker|Hammer
Radica,Radica,"Elf, Lovesick, Staff, Fire",4,Elf|Lovesick|Staff|Fire
Helena,Helena,"Mask, Synth Human, Staff, Earth",4,Mask|Synth Human|Staff|Earth
Foran,Foran,"IDA School, Cat Hater, Lance, Water",4,IDA School|Cat Hater|Lance|Water
Mighty,Mighty,"IDA School, Napper, Staff, Water",4,IDA School|Napper|Staff|Water
Selfless Seeker,Selfless Seeker,"Gun, Outlaw, Bow, Earth",4,Gun|Outlaw|Bow|Earth
Terry,Terry,"KOF, MMA, Fists, Earth",4,KOF|MMA|Fists|Earth
Orleya,Orleya,"Estrangement, Ax, Fire, Thunder",4,Estrangement|Ax|Fire|Thunder
Yakumo,Yakumo,"Estrangement, KMS, Staff, Shade",4,Estrangement|KMS|Staff|Shade
Eva,Eva,"Dragon, Staff, Water, Crystal",4,Dragon|Staff|Water|Crystal
Shanie,Shanie,"Cursed, Lovesick, Sword, Water",4,Cursed|Lovesick|Sword|Water
Velvet,Velvet,"Concerto Artes, Tales of, Sword, Earth",4,Concerto Artes|Tales of|Sword|Earth
Yuri,Yuri,"Concerto Artes, Tales of, Katana, Wind",4,Concerto Artes|Tales of|Katana|Wind
Miranda,Miranda,"Scallywag, Spicy Lover, Ax, Fire",4,Scallywag|Spicy Lover|Ax|Fire
Milla,Milla,"Concerto Artes, Tales of, Sword, Water",4,Concerto Artes|Tales of|Sword|Water
Cress,Cress,"Concerto Artes, Tales of, Sword, Fire",4,Concerto Artes|Tales of|Sword|Fire
Colette,Colette,"Concerto Artes, Dog lover, Tales of, Staff",4,Concerto Artes|Dog lover|Tales of|Staff
Linaria,Linaria,"IDA School, COA, Sword, Fire",4,IDA School|COA|Sword|Fire
Melody,Melody,"IDA School, Estrangement, Staff, Wind",4,IDA School|Estrangement|Staff|Wind
Empel,Empel,"Glasses, Atelier, Bookworm, Staff",4,Glasses|Atelier|Bookworm|Staff
Crimson Reaper,Crimson Reaper,"Mask, Purgatory, Ax, Water",4,Mask|Purgatory|Ax|Water
Elseal,Elseal,"Bookworm, Weapons, Sword, Water",4,Bookworm|Weapons|Sword|Water
Violet Lancer,Violet Lancer,"Amnesia, Lost Laboratory, Lance, Earth",4,Amnesia|Lost Laboratory|Lance|Earth
Tiramisu,Tiramisu,"Sweet tooth, Dragon, Lance, Earth",4,Sweet tooth|Dragon|Lance|Earth
Darunis,Darunis,"Baruoki, Forager, Bow, Wind",4,Baruoki|Forager|Bow|Wind
Velette,Velette,"Chronos Empire, Miner, Hammer, Thunder",4,Chronos Empire|Miner|Hammer|Thunder
Miyu,Miyu,"Miglance Palace, Royalty, Sword, Fire",4,Miglance Palace|Royalty|Sword|Fire
Bertrand,Bertrand,"Miglance Palace, Shield, Lance, Earth",4,Miglance Palace|Shield|Lance|Earth
Good Macky,Good Macky,"Sweet tooth, Cat Hater, Fists, Wind",4,Sweet tooth|Cat Hater|Fists|Wind
Radias,Radias,"Miglance Palace, Shield, Sword, Fire",4,Miglance Palace|Shield|Sword|Fire
Pizzica,Pizzica,"Minstrel, Northern, Bow, Fire",4,Minstrel|Northern|Bow|Fire
Kid,Kid,"New Radical Dreamers, Scars of the Wheel of Time, Katana, Fire",4,New Radical Dreamers|Scars of the Wheel of Time|Katana|Fire
Pom,Pom,"Scientist, Forager, Gun, Staff",4,Scientist|Forager|Gun|Staff
Parisa,Parisa,"Minstrel, Cursed, Bow, Fire",4,Minstrel|Cursed|Bow|Fire
Soira,Soira,"Miglance Palace, Napper, Lance, Wind",4,Miglance Palace|Napper|Lance|Wind
Lovinia,Lovinia,"Minstrel, Spirit Talker, Bow, Wind",4,Minstrel|Spirit Talker|Bow|Wind
Serge,Serge,"New Radical Dreamers, New Time Drift, Scars of the Wheel of Time, Sword",4,New Radical Dreamers|New Time Drift|Scars of the Wheel of Time|Sword
Lloyd,Lloyd,"Concerto Artes, Tales of, Katana, Fire",4,Concerto Artes|Tales of|Katana|Fire
Saki,Saki,"IDA School, Staff, Water",3,IDA School|Staff|Water
Mayu,Mayu,"IDA School, Staff, Water",3,IDA School|Staff|Water
Moonlight Flower,Moonlight Flower,"IDA School, Sword, Water",3,IDA School|Sword|Water
Id,Id,"Purgatory, Fists, Earth",3,Purgatory|Fists|Earth
Hismena,Hismena,"IDA School, Lance, Water",3,IDA School|Lance|Water
Strawboy,Strawboy,"Eastern, Straw Dummy, Fists",3,Eastern|Straw Dummy|Fists
Chiyo,Chiyo,"Dragon Palace, Staff, Earth",3,Dragon Palace|Staff|Earth
Myrus,Myrus,"Beast, Staff, Earth",3,Beast|Staff|Earth
Mariel,Mariel,"Cat lover, Clergy, Staff",3,Cat lover|Clergy|Staff
Myron,Myron,"Clergy, Sword, Earth",3,Clergy|Sword|Earth
Urania,Urania,"Cooking, Mask, Fists",3,Cooking|Mask|Fists
Jade,Jade,"IDA School, Lance, Fire",3,IDA School|Lance|Fire
Asia,Asia,"Mask, Estrangement, Bow",3,Mask|Estrangement|Bow
Rodeia,Rodeia,"Mask, Sweet tooth, Ax",3,Mask|Sweet tooth|Ax
Sauria,Sauria,"Mask, Nicknamer, Lance",3,Mask|Nicknamer|Lance
Miyu ES,Miyu ES,"Lance, Earth, Thunder",3,Lance|Earth|Thunder
Melina ES,Melina ES,"Fists, Water, Thunder",3,Fists|Water|Thunder
Rufus,Rufus,"Bookworm, Fists, Fire",3,Bookworm|Fists|Fire
Tohme,Tohme,"Avenger, Fleareth, Katana",3,Avenger|Fleareth|Katana
Ciel,Ciel,"Minstrel, Bow, Earth",3,Minstrel|Bow|Earth
Noahxis,Noahxis,"Scientist, Hammer, Wind",3,Scientist|Hammer|Wind
Sesta,Sesta,"Avenger, Katana, Wind",3,Avenger|Katana|Wind
Kuchinawa,Kuchinawa,"Arcadia, Staff, Earth",3,Arcadia|Staff|Earth
Kilqia,Kilqia,"Mask, Sharp Ears, Staff",3,Mask|Sharp Ears|Staff
Gariyu,Gariyu,"Dragon, Staff, Fire",3,Dragon|Staff|Fire
Natore,Natore,"Fleareth, Ninja, Sword",3,Fleareth|Ninja|Sword
Yio,Yio,"Dragon Killer, Ax, Earth",3,Dragon Killer|Ax|Earth
Philo,Philo,"Woodcutter, Ax, Water",3,Woodcutter|Ax|Water
Tithi,Tithi,"Traveler, Fists, Thunder",3,Traveler|Fists|Thunder
Starky,Starky,"Scars of the Wheel of Time, Staff, Crystal",3,Scars of the Wheel of Time|Staff|Crystal
Emms,Emms,"Fleareth, Napper, Fists",3,Fleareth|Napper|Fists
Partitio,Partitio,"Traveler, Bow, Fire",3,Traveler|Bow|Fire
Denny,Denny,"Scallywag, Ax, Water",3,Scallywag|Ax|Water
Isuka ES,Isuka ES,"Sword, Fire, Shade",3,Sword|Fire|Shade
Toova ES,Toova ES,"Hammer, Water, Shade",3,Hammer|Water|Shade
Nagi ES,Nagi ES,"Staff, Water, Crystal",3,Staff|Water|Crystal
Mana,Mana,"IDA School, Bow",2,IDA School|Bow
Naylia,Naylia,"Mask, Sword",2,Mask|Sword
Menesia,Menesia,"Mask, Katana",2,Mask|Katana
Esta,Esta,"Fleareth, Ax",2,Fleareth|Ax
